name,address,longitude,latitude,description,subordination,creation_time,modification_time,mo_from,mo_to,tu_from,tu_to,we_from,we_to,th_from,th_to,fr_from,fr_to,sa_from,sa_to,su_from,su_to
Паевская сельская библиотека,"Респ Мордовия,р-н Кадошкинский,с Паево,ул Школьная,д 20",44.222715560852,54.0171873441695,"Год основания библиотеки: 1946 Библиотека занимает помещение: в здании МБОУ «Паевская НОШ». Общая площадь помещений, занимаемых библиотекой 30 кв. м. Книжный фонд 14 260. Количество посетителей 250. Основные виды деятельности Паевской сельской библиотеки:библиотечное, информационное и справочно-библиографическое обслуживание потребителей информации;комплектование фонда библиотеки, его хранение, обеспечение сохранности;выставочная деятельность, проведение культурно-просветительских и образовательных мероприятий. В Паевской сельской библиотеки имеется мини музей посвященный Великой Отечественной Войне.",Кадошкинский район,2021-06-10T13:30:36Z,2023-03-06T13:42:25Z,,,08:30:00,13:30:00,08:30:00,13:30:00,08:30:00,13:30:00,08:30:00,13:30:00,08:30:00,13:30:00,,
Толиковская сельская библиотека,"Чувашия Чувашская республика,р-н Чебоксарский,д Толиково,ул Большая,влд 26а",47.453792,56.070278,"Толиковская сельская библиотека – одна из старейших сельских библиотек района. Она известна с XIX века как читальня народного хурала. В 20-х годах XX века библиотека находилась в здании волостной конторы, затем – в доме специалистов. Библиотека обслуживает жителей деревень Толиково, Липово, Кодеркасы, Томакасы, Алымкасы. В настоящее время Толиковская сельская библиотека находится в отдельном здании и занимает площадь 120 кв. м. Библиотечный фонд включает более 9 тысяч экземпляров на бумажных и электронных носителях, число читателей – свыше 500 человек.Создан и успешно действует клуб «Непоседа – шǎпǎрлан».",Чебоксарский район,2021-11-15T14:27:00Z,2023-03-02T08:16:17Z,11:00:00,18:00:00,11:00:00,18:00:00,12:00:00,18:00:00,12:00:00,18:00:00,12:00:00,18:00:00,,,,
Библиотека поселка Песочного,"г Санкт-Петербург,г Санкт-Петербург,п Песочный,ул Ленинградская,д 46а",30.167718,60.121538,"Библиотека – информационный и культурно-просветительский центр поселка. Первые упоминания о ней относятся к 1923 году. К услугам читателей – абонементы для детей и взрослых с книгами и журналами. Книжный фонд насчитывает свыше 44 000 единиц хранения. Пользователям предоставляется свободный доступ в интернет. Любители искусства могут совершить виртуальные прогулки по залам Русского музея. В библиотеке открыта краеведческая музейная экспозиция по истории поселка «Графская – Дибуны – Песочный». Проходят встречи с писателями, поэтами, артистами. Проводятся концерты, праздники, книжные и художественные выставки. Работают шахматный клуб для детей «Графский ферзь» и компьютерный клуб для пенсионеров.",Санкт-Петербург,2015-11-09T12:57:15Z,2023-08-21T13:45:01Z,,,12:00:00,19:00:00,12:00:00,19:00:00,12:00:00,19:00:00,12:00:00,19:00:00,12:00:00,18:00:00,,
Библиотека-музей Астафьева,"край Красноярский,г Дивногорск,с Овсянка,ул Набережная,д 67",91.25244140625,55.6279959542672,"Библиотека-музей В. П. Астафьева создана на малой родине писателя, в селе Овсянка, по инициативе и при поддержке самого писателя. По завещанию Виктора Петровича в библиотеке-музее хранятся его рукописи и личные архивы. Кроме того, в БМА содержатся архивные фонды, связанные с близкими ему людьми. Книжный фонд Библиотеки-музея составляет более 31 тыс. экземпляров. Постоянные читатели БМА – более 2000 жителей села Овсянка, поселка Слизнево, а также студенты, преподаватели, ученые-литературоведы из Красноярска и Дивногорска. Главная задача Библиотеки-музея Астафьева – изучение и популяризация творчества Астафьева. Кроме того, БМА – настоящий культурный центр села Овсянка. При БМА действует фольклорно-этнографический ансамбль «Енисеюшка» – единственный в России коллектив, созданный при библиотеке. Участницы ансамбля – старожилы Овсянки, они сами собирали старинные песни, которые сейчас исполняют. Некоторые из них записаны от В. П. Астафьева.",Дивногорск,2020-03-27T09:40:22Z,2023-03-01T13:47:10Z,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,,,10:00:00,18:00:00,10:00:00,18:00:00
Нусинская сельская библиотека – филиал № 29,"Респ Татарстан,р-н Арский,с Нуса,ул Татарстан,зд 29",49.918868,56.427274,"Нусинская сельская библиотека открылась в октябре 1967 года в здании старого медпункта. Первым библиотекарем была выпускница Елабужского училища 20-летняя девушка Гумерова Талия. В 1979 году с помощью сельсовета было построено новое здание библиотеки. В 1980 году сельские библиотеки перешли в центральную библиотечную систему. С 1991 года работает Галимуллина Лейсан Раисовна. В библиотеке работают клубы по интересам, проводятся разные массовые мероприятия, встречи, библиотечные уроки, информационно-познавательные часы и другие программы. Основные показатели: книжный фонд –6 739;число читателей – 610.",Арский район,2021-06-02T13:10:42Z,2023-02-27T08:47:59Z,09:00:00,16:00:00,09:00:00,16:00:00,09:00:00,16:00:00,09:00:00,16:00:00,09:00:00,16:00:00,09:00:00,16:00:00,,
Городская библиотека № 1 г. Гуково,"обл Ростовская,г Гуково,ул Советской Армии,д 39",39.935172,48.057316,"Первой библиотекой города Гуково является городская библиотека № 1. Официальная дата открытия библиотеки – август 1956 года (о чем свидетельствует первая запись в инвентарной книге). Пройдя путь длинною более, чем в 65лет, библиотека стала одним из самых востребованных учреждений в городе. Фонд литературы по сравнению с 1956 годом увеличился более, чем на 35 000 тысяч экземпляров и составляет на данный момент 40 500 экз. литературы. Ежегодно в библиотеку записывается более 5000 тысяч читателей. Ежедневно посещают более 100 человек. К услугам пользователей – абонемент, читальный зал. Краеведение – одно из важных направлений деятельности библиотеки городской библиотеки №1. В течение многих лет библиотека собрала большой фонд краеведческих документов. При библиотеке уже много лет работает краеведческий клуб «Донцы», совместно с которым проводится много мероприятий краеведческой тематики, встреч с интересными людьми. Городская библиотека № 1 сегодня – культурный информационный центр, который совершенствует свою деятельность и расширяет услуги. В библиотеке работает библиотечно-информационный центр, который оперативно и качественно предоставляет нужную информацию. Сотрудники библиотеки стараются использовать разнообразные формы и методы массовой и индивидуальной работы, чтобы превратить библиотечный труд в увлекательное и творческое дело. И тем самым повысить культурный потенциал населения!",Гуково,2023-02-16T12:38:13Z,2023-02-27T09:24:24Z,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,,,09:00:00,18:00:00
Никольская сельская библиотека,"обл Свердловская,р-н Сысертский,с Никольское,ул 1 Мая,д 76Б",60.910852,56.257623,"Сохранились интересные сведения о том, что при церкви была библиотека, которая в 1903 г. состояла преимущественно из периодических изданий духовных журналов, таких как «Церковно-общественный вестник», «Воскресное чтение», «Душеполезное чтение», «Домашние беседы», «Странник». Книг политических и противораскольничьих в библиотеке не было. Судя по отчетным документам, первое упоминание о библиотеке относится к 1948 г. В 1960 г. наименование и тип библиотеки: Никольская зональная, в 1962 г. – самостоятельная Никольская библиотека, а в 1965 г. – Никольская сельская. В 1958 г. библиотека помещалась в помещении бывшей церкви, там же находился сельский клуб (так тогда называли Дом культуры). В 1962 г. церковь снесли, а библиотеку перевели в комнату при конторе отделения совхоза, а через год перевезли в комнату в центральной конторе, где находился и сельский клуб. В 1965 г. библиотека и клуб переехали в новое здание, в котором находятся по сей день.Книжный фонд насчитывает 12 тыс. экз. документов. Имеется компьютер для доступа к социально значимой информации, предоставляется доступ к Национальной электронной библиотеке. Библиотеку посещает 33 % жителей села. Успешно реализуется проект «Страницы истории села Никольского». Активно идет сбор материалов о селе и распространение краеведческих знаний среди жителей через мероприятия и краеведческие издания. Среди социальных партнеров: школа, детский сад, «Никольская слобода», сельская администрация.",Сысертский район,2023-03-23T09:03:55Z,2023-03-30T07:25:49Z,11:00:00,18:00:00,11:00:00,18:00:00,11:00:00,18:00:00,11:00:00,18:00:00,,,,,11:00:00,18:00:00
Кашкалашинская сельская библиотека,"Респ Башкортостан,р-н Благоварский,с Кашкалаши,ул Советская,д 54",55.1750902317866,54.7346775040109,"Большое внимание в Кашкалашинской сельской библиотеке уделяется созданию условий для организации чтения и досуга читателей среднего и зрелого возраста. Для них проводятся информационно-просветительские, культурно-досуговые мероприятия, популяризующие литературу по истории, искусству, обрядам и традициям народов России, домоводству, садоводству, огородничеству, краеведению.Год постройки здания – 1971, последнего капитального ремонта – 1993. Количество зарегистрированных пользователей, в т. ч. удаленных – 516. 82 – количество посещений, в т. ч. массовых мероприятий. Книжный фонд составляет более 14 000 экземпляров.",Благоварский район,2020-09-03T11:55:57Z,2023-03-10T15:08:49Z,09:00:00,19:00:00,09:00:00,19:00:00,09:00:00,19:00:00,09:00:00,19:00:00,09:00:00,19:00:00,09:00:00,17:00:00,,
Центральная библиотека Дзержинского района,"край Красноярский,р-н Дзержинский,с Дзержинское,ул Горького,д 104",95.2277633055573,56.8374652990413,"Библиотека в селе Рождественском (ныне Дзержинском) существовала еще до 1925 года, а после образования района получила статус районной. Первая библиотека, в бывшей тогда Рождественской волости, была создана не на пустом месте. Основой ее послужили книги, которые были в церковно-приходской школе или просто церкви. Читателями были крестьяне, которые, в свою очередь, подразделялись на бедняков, середняков, зажиточных. В 1994 году библиотека приобрела новый «книжный дом» в приспособленном помещении бывшего КБО. И вот уже более 22 лет читатели села и деревень района приходят за книгами именно сюда. В настоящее время библиотека обслуживает ежегодно 3 370 читателей, книжный фонд включает 28 405 экземпляров.Учреждение активно ведет работу в социальных сетях. Библиотекари стремятся создать для своих читателей наиболее комфортные условия, привлечь их интересным интерьером, предоставить в их пользование необходимую современную оргтехнику. На постоянной основе принимают участие в написании проектов, участвуют в грантовых программах. Участие в акциях и конкурсах как регионального, так и всероссийского масштаба, также является неотъемлемой частью работы библиотеки.",Дзержинский район,2020-10-20T08:09:48Z,2023-03-06T11:28:34Z,09:00:00,19:05:00,09:00:00,19:00:00,09:00:00,19:00:00,09:00:00,19:00:00,09:00:00,19:00:00,,,10:00:00,17:00:00
Сасовская городская библиотека № 2,"обл Рязанская,г Сасово,ул Островитянова,зд 129а",41.9451911018524,54.3543831951854,"Городская библиотека № 2 основана в феврале 1986 года. Ее фонд состоит из различных видов отечественных и зарубежных изданий (научной, учебной, художественной литературы и др.) и насчитывает более 13 000 экземпляров. В год обслуживается 1 500 читателей, это люди всех возрастов: дети и взрослые. Также библиотека занимается обслуживанием удаленных пользователей.Учреждение состоит из отдела обслуживания, читального зала, запасника и комнаты-музея. Работает по нескольким направлениям – это краеведение, патриотическое и духовно-нравственное воспитание, основы безопасности жизнедеятельности. В библиотеке работают 2 клуба: «У самовара» и «Православная азбука».",Сасово,2024-01-25T07:41:13Z,2024-01-26T06:32:47Z,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,,
