name,address,longitude,latitude,description,subordination,creation_time,modification_time,mo_from,mo_to,tu_from,tu_to,we_from,we_to,th_from,th_to,fr_from,fr_to,sa_from,sa_to,su_from,su_to
Центральная городская муниципальная библиотека им. Л. Н. Толстого,"Респ Дагестан,г Кизляр,ул Ленина,д 2",46.7092056121668,43.8539153751699,"Первые документальные сведения об открытии общедоступной бесплатной библиотеки в г. Кизляре были опубликованы 30 октября 1918 году в газете «Известия совета рабочих и крестьянских депутатов г. Кизляра». В ней говорилось, что при бюро комитета открывается бесплатная библиотека, которой смогут пользоваться все желающие граждане. Так появилась первая библиотека, доступная для всех в г. Кизляре и Кизлярском округе. В настоящее время книжный фонд составляет 76 022 экземпляра. Проводятся акции, круглые столы, конференции и т. д. В год проходит около 100 мероприятий. Количество пользователей – около 7 000 человек.При библиотеке активно функционирует поэтический клуб «Взлет».",Кизляр,2020-11-10T12:17:19Z,2023-02-22T13:18:12Z,,,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,17:00:00,09:00:00,17:00:00
Центральная городская библиотека им. А. Уержаа,"Респ Тыва,г Ак-Довурак,ул Центральная,д 5",90.600378,51.190524,"Первые сведения о библиотеке Ак-Довурака датируются 1958 годом, который считается началом деятельности городской библиотеки. В 2007 году ей присвоено имя писателя Антона Уержаа. На сегодняшний день в фонде насчитывается 45 000 экземпляров документов, из них более 3 800 экземпляров на тувинском языке. За год в библиотеку приходит более 19 000 посетителей. Библиотека является модельной, и в ней предусмотрены все условия для создания привлекательного, открытого и активного пространства для чтения, общения, просвещения, работы и отдыха. Работают любительские клубы для взрослых и кружки для детей.",Ак-Довурак,2022-11-14T04:48:32Z,2023-06-20T06:00:13Z,08:30:00,17:30:00,08:30:00,17:30:00,08:30:00,17:30:00,08:30:00,17:30:00,08:30:00,17:30:00,,,,
Родинская библиотека им. Ю. И. Макарова,"обл Белгородская,р-н Ровеньский,п Ровеньки,ул Московская,д 29",38.9188,49.890028,"Родинская библиотека основана в 1975 году. В 2023 году она получила имя члена Союза писателей России, поэта и прозаика Юрия Макарова. Фонд включает более 9 600 экземпляров, число читателей – 807. Библиотека проводит в год свыше 60 мероприятий, посещения – более 12 000. Читателям предоставляется бесплатный доступ ко всем ресурсам библиотеки. Библиотека – место досуга, культурного и духовного общения населения микрорайона Буденного. Для его жителей работают клубы по интересам «Бабушкины посиделки», «Славяне», «Любителям поэзии», «Благовест», «Родные истоки». Библиотека ведет работу по всем направлениям, проводит различные мероприятия: «Книжкину неделю», Неделю книги для молодежи, дни литературы, дни поэзии, вечера встреч, выставки, акции, конкурсы и т. д.",Ровеньский район,2015-03-24T12:38:13Z,2024-02-16T19:46:46Z,,,09:00:00,20:00:00,09:00:00,20:00:00,09:00:00,20:00:00,09:00:00,20:00:00,09:00:00,20:00:00,15:00:00,20:00:00
Черновская сельская библиотека им. Ф. Ф. Павленкова,"край Пермский,р-н Большесосновский,с Черновское,ул Октябрьская,д 10",54.536712,57.500419,"В 1890-х годах в Оханском уезде при церквях открывали народные библиотеки. Среди 20 открытых была и Черновская. Первым библиотекарем был комсомольский вожак Николай Демидович Кузнецов. В избе-читальне собирался неграмотный народ, и Николай Демидович читал газеты, знакомил с новостями, учил писать. Примерно в 1926 году образовался Черновской отдел культуры. Небольшая изба-читальня стала Черновской районной библиотекой. Заведующим был назначен Михаил Федорович Кошкаров, дипломированный педагог. 26 марта 1999 года Черновской зональной библиотеке присвоено имя Флорентия Федоровича Павленкова и статус «Павленковская библиотека». В 2000 году она переехала в здание, которое находится во дворе дома купца Горохова. В настоящее время в библиотеке проводятся различные мероприятия: мастер-классы, экскурсии, литературные вечера, мини-концерты, встречи с интересными людьми – писателями и краеведами. Фонд насчитывает более 10 000 документов. Посещает библиотеку свыше 800 читателей.",Большесосновский район,2015-09-27T21:25:19Z,2023-07-25T06:35:15Z,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,,,,
Морская библиотека-музей им. В. Г. Гузанова,"обл Нижегородская,р-н Княгининский,г Княгинино,ул Свободы",45.035662,55.821057,"В августе 2003 года,в сухопутном Княгинино торжественно открылась Морская библиотека-музей писателя В. Г. Гузанова. Основатель библиотеки-музея выдающийся земляк Гузанов Виталий Григорьевич – ветеран Великой Отечественной войны, писатель-историк, лауреат различных литературных премий, имевший 28 государственных наград, в том числе и боевые медали Ушакова и Нахимова.Привезенные из московской квартиры книги Виталий Григорьевич расставлял сам и по своей задумке: распределил их по флотам, по истории военно-морского флота, по истории кораблестроения, военные и морские уставы, географические карты и атласы, военные мемуары. Книги о русских флотоводцах – Ушакове, Нахимове, Путятине, Макарове. Словарь Брокгауза и Ефрона, который можно найти не в каждой областной библиотеке. В особый раздел библиотеки попали книги с автографами известных писателей: М. Зощенко, В. Пикуля, Н. Кочина, В. Шамшурина и многих других, подаренные лично Виталию Григорьевичу. Также много журналов, справочной, учебной и художественной литературы, поэтические сборники – все это заняло свои полки. Делал он это для удобства читателей, чтобы каждый мог выбрать понравившуюся книгу из интересующего раздела.Сейчас фонд библиотеки составляет 4 727 экземпляров документов. Библиотека-музей неоднократно становилась победителем как областных, так и районных конкурсов.С момента открытия прошло много лет. Библиотека-музей работает по-прежнему, как и при Виталии Григорьевиче.",Княгининский район,2021-07-07T12:01:06Z,2023-03-09T09:59:40Z,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,,,,
Сельская библиотека – филиал № 10 им. А. Я. Уваровского,"Респ Саха /Якутия/,г Якутск,с Тулагино,ул Николаева,д 34",129.874667949086,62.2497628647284,"Библиотека «Ньургусун» расположена в селе Тулагино. Книжный фонд насчитывает 15 000 экземпляров. В течение года обслуживается более 1 000 читателей. Краеведение – это основное приоритетное направление работы библиотеки. Краеведческий фонд включает около 7 000 экземпляров. Ведется сотрудничество с общественными группами с целью увековечивания памяти уважаемых людей Тулагино-Кильдямского наслега, священных мест, которые составляют историческое наследие села. Библиотека играет немаловажную роль в этой миссии и ведет многоплановую работу через реализацию проектов, организацию мероприятий и пропаганду якутской национальной культуры и литературы.",Якутск,2021-04-16T07:06:37Z,2024-01-24T08:53:30Z,,,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00
Модельная библиотека-филиал им. В. В. Маяковского,"Респ Удмуртская,г Ижевск,ул Новостроительная,д 28",53.141485,56.831782,"«Маяковка» всегда была точкой притяжения для жителей Ленинского района г. Ижевска, а после модернизации библиотека-филиал им. В. Маяковского стала многофункциональным культурным центром, соответствующим всем современным требованиям и запросам жителей. Ежегодно более 5 800 ижевчан становятся постоянными читателями библиотеки. К их услугам более 15 тысяч экземпляров печатных книг. Цифровые технологии, обновленный фонд, комфортные пространства для разных практик чтения, оригинальный дизайн, инновационные формы библиотечной деятельности помогут обеспечить познавательно-творческую деятельность, раскрыть творческий потенциал пользователей, дать возможность развитию и личностному росту молодежи. В 60-х годах библиотеке было присвоено имя Маяковского, после чего одним из приоритетных направлений деятельности стало продвижение поэтического слова и личности поэта. Поэтому в основу оформления библиотечного пространства легла визуальная идея в авангардном стиле поэта В. Маяковского. Новые пространства: «ЛитКульт»– залы-трансформеры для крупных массовых мероприятий;«ДА!» – детский абонемент;«НеТ!» – зал небиблиотечных технологий для развивающих занятий для детей;«ЛитСреда» – зал художественной литературы;«ВАМ!» – «Время амбициозной молодежи». Уникальный дизайн библиотеки выдержан в стиле 20–30-х гг. Портрет поэта на стене, графическое оформление залов погружают в атмосферу и настроение В. В. Маяковского: ярко, задорно, оптимистично!",Ижевск,2022-02-24T09:31:07Z,2023-03-23T06:31:24Z,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,10:00:00,19:00:00,,,,,10:00:00,18:00:00
Калужская областная специальная библиотека для слепых им. Н. Островского,"обл Калужская,г Калуга,ул Поле Свободы,д 36А",36.2613308429718,54.5230333884259,"Областная специальная библиотека для слепых им. Н. Островского – информационный, социокультурный, образовательный центр для людей с ограниченными возможностями физического здоровья Калужской области – была открыта 20 ноября 1955 года. К услугам читателей – уникальный фонд изданий в специальных форматах: книги, изданные рельефно-точечным шрифтом, укрупненным шрифтом, книги на CD, флеш-картах, «говорящие» книги на кассетах. В библиотеке функционируют 10 отделов, 16 реабилитационно-досуговых клубов разных направлений и 8 информационных центров. Фонд составляет 131 208 единиц, количество читателей – 4 201 человека.",Калужская область,2015-02-02T13:04:31Z,2023-03-01T13:47:37Z,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,,,,
Санчурская центральная библиотека им. А. М. Рыжова,"обл Кировская,р-н Санчурский,пгт Санчурск,ул Урицкого,д 17",47.259829025588,56.9399416530687,"В сентябре 1895 года в культурной жизни города Царевосанчурска произошло знаменательное событие – на средства комитета грамотности, состоящего при Императорском Вольном Экономическом обществе, была открыта бесплатная читальня. В настоящее время фонд библиотеки – 186 743 экземпляров, количество посетителей – 8 422 человек. Библиотека принимает участие в ежегодных акциях «Библионочь», «Ночь искусств». Ежегодно проходят «Рыжовские чтения». Созданы клубы по интересам. Для взрослого населения – «Свет добра», «Краевед», для подростков – «Подросток», для детей – «Провинциал», «Светлячок», «Зеленая гостиная».",Санчурский район,2019-10-18T15:07:36Z,2023-02-21T13:22:39Z,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,17:00:00,,,09:00:00,14:00:00
"Гулькевичская городская детская библиотека им. К. Симонова, филиал № 1","край Краснодарский,р-н Гулькевичский,г Гулькевичи,ул Комсомольская,д 80",40.696395,45.360234,"Городская детская библиотека имени К. Симонова образована в 1976 году. В ней имеется два отдела: абонемент и читальный зал на 35 посадочных мест. Библиотечный фонд насчитывает 26 000 экземпляров книг, 10 наименований газет и журналов. Ежегодно пополняется новыми печатными изданиями: книгами, журналами, краевыми и районными газетами. Основными пользователями детской библиотеки являются дети от 5 до 15 лет. Количество читателей – 1 012 человек. Оборудование библиотеки позволяет осуществлять выполнение информационных справок, подбор материалов для проектов, сообщений и рефератов, запрашиваемых учащимися, а также для самостоятельной работы пользователей. Оборудована зона комфорта для читателей. Фонд имеет уникальный материал о пребывании К. М. Симонова в Гулькевичском районе, а также хранит картины местного художника – ветерана Великой Отечественной войны Н. К. Горбань.",Гулькевичский район,2016-09-23T12:05:17Z,2023-02-21T11:10:27Z,,,08:00:00,17:00:00,08:00:00,17:00:00,08:00:00,17:00:00,08:00:00,16:00:00,09:00:00,17:00:00,09:00:00,17:00:00
