name,dedication
Опаринская центральная библиотека им. Н. А. Яхлакова,им. Н. А. Яхлакова
Городская библиотека им. Е. Е. Аксеновой,им. Е. Е. Аксеновой
Центральная библиотека им. А. Н. Островского,им. А. Н. Островского
Детская библиотека № 22 им. Л. А. Кассиля (филиал № 1),им. Л. А. Кассиля
Детская библиотека-филиал им. А. П. Бринского,им. А. П. Бринского
Центральная городская библиотека им. А. Уержаа,им. А. Уержаа
Детская библиотека им. А. К. Салтыкова,им. А. К. Салтыкова
Библиотека им. М. Е. Салтыкова-Щедрина города Ельца,им. М. Е. Салтыкова-Щедрина
Библиотека № 22 им. И. А. Бунина,им. И. А. Бунина
Карабановская городская библиотека им. Ю. Н. Худова,им. Ю. Н. Худова
Шабуровская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Библиотека им. С. А. Есенина,им. С. А. Есенина
Красноярская городская библиотека им. А. Чехова,им. А. П. Чехова
Красноярская городская библиотека им. А. Черкасова,им. А. Т. Черкасова
Библиотека-филиал № 5 им. В. В. Вишневского,им. В. В. Вишневского
Библиотека № 8 им. Ф. Ф. Павленкова с. Вассята,им. Ф. Ф. Павленкова
Модельная детская библиотека им. Н. Ш. Куулар,им. Н. Ш. Куулар
Детская библиотека им. А. П. Гайдара,им. А. П. Гайдара
Сельская библиотека – филиал № 2 им. А. П. Чехова,им. А. П. Чехова
Библиотека № 2 им. А. С. Пушкина г. Брянска,им. А. С. Пушкина
Центральная городская библиотека им. Горького,им. М. Горького
Центральная городская библиотека им. Д. Н. Мамина-Сибиряка,им. Д. Н. Мамина-Сибиряка
Библиотека-филиал № 5 им. А. П. Чехова,им. А. П. Чехова
Библиотека № 183 им. Данте Алигьери,им. Данте Алигьери
Биробиджанская областная универсальная научная библиотека им. Шолом-Алейхема,им. Шолом-Алейхема
Центральная детская библиотека им. А. М. Горького г. Нижнего Новгорода,им. А. М. Горького
Петровская сельская библиотека им. А. Г. Архангельской,им. А. Г. Архангельской
Тамбовская областная универсальная научная библиотека им. А. С. Пушкина,им. А. С. Пушкина
Мценская межпоселенческая районная библиотека им. И. С. Тургенева,им. И. С. Тургенева
Районная публичная библиотека им. А. Герцена,им. А. И. Герцена
Городская библиотека им. М. К. Анисимковой,им. М. К. Анисимковой
Детский отдел Центральной библиотеки им. В. А. Пазухина г. Кинешма,им. В. А. Пазухина
Центральная районная библиотека им. М. Горького п. Сосьва,им. М. Горького
Библиотека-филиал № 3 им. Шевченко,им. Т. Г. Шевченко
Межпоселенческая центральная библиотека им. А. Т. Черкасова,им. А. Т. Черкасова
Тюменцевская межпоселенческая центральная библиотека им. Г. В. Егорова,им. Г. В. Егорова
Мокинская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Арзамасская центральная районная библиотека им. И. Н. Сахарова,им. И. Н. Сахарова
Библиотека № 14 им. А. Луначарского г. Тольятти,им. А. В. Луначарского
Библиотека им. Н. Г. Чернышевского,им. Н. Г. Чернышевского
Пермская краевая детская библиотека им. Л. И. Кузьмина,им. Л. И. Кузьмина
Детская библиотека им. А. П. Гайдара г. Читы,им. А. П. Гайдара
Центральная детская библиотека им. В. С. Рыжакова,им. В. С. Рыжакова
Библиотека-филиал № 4 им. Г. К. Дерман,им. Г. К. Дерман
Детский отдел Библиотеки им. А. С. Пушкина г. Майского,им. А. С. Пушкина
Районная библиотека им. А. И. Куприна с. Наровчат,им. А. И. Куприна
Библиотека № 1 им. Салтыкова-Щедрина,им. М. Е. Салтыкова-Щедрина
Центральная городская библиотека им. Л. М. Гержидовича,им. Л. М. Гержидовича
Библиотека им. Г. Е. Николаевой,им. Г. Е. Николаевой
Тувинская республиканская детская библиотека им. К. И. Чуковского,им. К. И. Чуковского
Красноярская городская библиотека им. И. Тургенева,им. И. С. Тургенева
Центральная городская библиотека им. А. С. Пушкина г. Ачинска,им. А. С. Пушкина
Центральная детская библиотека им. А. П. Гайдара,им. А. П. Гайдара
Долинская городская библиотека им. Е. Д. Лебкова,им. Е. Д. Лебкова
Оричевская центральная районная библиотека им. Людмилы Ишутиновой,им. Людмилы Ишутиновой
Библиотека им. М. А. Лаврентьева,им. М. А. Лаврентьева
Городской центр истории новосибирской книги им. Н. П. Литвинова,им. Н. П. Литвинова
Центральная городская библиотека им. А. М. Горького,им. А. М. Горького
Филиал № 10 - библиотека им. М. И. Цветаевой,им. М. И. Цветаевой
Городская библиотека им. А. П. Чехова,им. А. П. Чехова
Карачевская межпоселенческая районная библиотека им. Н. Н. и Н. В. Баранских,им. Н. Н. и Н. В. Баранских
Библиотека им. Н. Галушкина,им. Н. Галушкина
Центральная городская библиотека им. Е. И. Носова,им. Е. И. Носова
Красноярская городская детская библиотека им. С. Михалкова,им. С. В. Михалкова
Вожгальская сельская библиотека им. Ф. И. Шаляпина,им. Ф. И. Шаляпина
Библиотека «Новогородская» им. А. И. Курицына,им. А. И. Курицына
Центральная районная библиотека им. А. С. Пушкина г. Нижний Новгород,им. А. С. Пушкина
Центральная библиотека им. Л. А. Малюгина,им. Л. А. Малюгина
Детская библиотека – филиал № 28 им. В. Д. Берестова,им. В. Д. Берестова
Библиотека № 3 им. К. Я. Мамонтова,им. К. Я. Мамонтова
Красноярская городская библиотека им. И. Рождественского,им. И. Рождественского
Библиотека № 11 им. А. С. Грибоедова,им. А. С. Грибоедова
Центральная библиотека им. С. А. Пестунова,им. С. А. Пестунова
Аспинская модельная сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Библиотека им. Саши Чекалина,им. Саши Чекалина
Центральная городская библиотека им. А. И. Солженицына,им. А. И. Солженицына
Библиотека-филиал № 4 им. Е. И. Полянского г. Курска,им. Е. И. Полянского
Нагорская центральная библиотека им. Г. И. Обатурова,им. Г. И. Обатурова
Библиотека им. А. С. Пушкина г. Новосибирска,им. А. С. Пушкина
Библиотека совхоза им. Воровского - филиал № 25,им. Воровского
Межпоселенческая библиотека им. М. А. Ульянова,им. М. А. Ульянова
Детская библиотека им. Мусы Джалиля г. Малая Вишера,им. М. Джалиля
Городская детская библиотека им. А. П. Гайдара,им. А. П. Гайдара
Центральная библиотека им. А. Фадеева,им. А. А. Фадеева
Сосногорская межпоселенческая центральная библиотека им. Я. М. Рочева,им. Я. М. Рочева
Владимирская сельская библиотека им. С. В. Афоньшина,им. С. В. Афоньшина
Центральная библиотека им. А. Ф. Орлова,им. А. Ф. Орлова
Библиотека им. В. В. Бианки г. Новосибирска,им. В. В. Бианки
Центральная детская библиотека им. К. Минина,им. К. Минина
Городищенская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Центральная городская библиотека им. М. Горького,им. М. Горького
Библиотека-филиал № 17 им. А. С. Грина,им. А. С. Грина
Центральная городская библиотека им. А. С. Пушкина г. Перми,им. А. С. Пушкина
Библиотека-филиал № 13 им. И. В. Кашпурова,им. И. В. Кашпурова
Центральная библиотека им. В. В. Маяковского г. Котовска,им. В. В. Маяковского
Библиотека им. М. И. Платова г. Шахты,им. М. И. Платова
Ставропольская краевая универсальная научная библиотека им. М. Ю. Лермонтова,им. М. Ю. Лермонтова
Детский информационный центр им. А. Гайдара,им. А. П. Гайдара
Решоткинская сельская библиотека им. Ю. П. Артюхина,им. Ю. П. Артюхина
Библиотека № 1 им. Л. Н. Толстого г. Перми,им. Л. Н. Толстого
Библиотека им. Н. Крупской г. Бузулука,им. Н. К. Крупской
Филиал № 1 - библиотека им. П. П. Бажова г. Нижнего Новгорода,им. П. П. Бажова
Культурный центр семейного чтения и досуга им. П. А. Михина,им. П. А. Михина
Центральная детская и юношеская библиотека им. А. С. Пушкина г. Киржача,им. А. С. Пушкина
Библиотека им. А. М. Горького – филиал № 7 г. Краснодара,им. А. М. Горького
Библиотека им. Н. В. Гоголя,им. Н. В. Гоголя
Библиотека им. И. Л. Дроздова,им. И. Л. Дроздова
Центральная детская библиотека им. Г. Г. Поротова,им. Г. Г. Поротова
Библиотека № 7 им. И. М. Ермакова,им. И. М. Ермакова
Филиал № 11 - библиотека им. А. А. Ахматовой г. Нижнего Новгорода,им. А. А. Ахматовой
Библиотека им. Ю. А. Адрианова г. Нижнего Новгорода,им. Ю. А. Адрианова
Библиотека – Центр общения и информации им. И. Н. Григорьева,им. И. Н. Григорьева
Городская детская библиотека им. В. Д. Давыдовой,им. В. Д. Давыдовой
Центральная городская библиотека им. Н. Островского,им. Н. А. Островского
Библиотека им. Н. Н. Старостина,им. Н. Н. Старостина
Стрельская сельская библиотека – филиал им. В. Л. Волгина,им. В. Л. Волгина
Кежемская межпоселенческая центральная районная библиотека им. А. Ф. Карнаухова,им. А. Ф. Карнаухова
Бугульминский филиал библиотеки для слепых им. Ш. К. Еникеева,им. Ш. К. Еникеева
Библиотека семейного чтения им. В. Давыдова-Анатри г. Новочебоксарска,им. В. Давыдова-Анатри
Барсаевская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Библиотека № 10 им. С. А. Есенина,им. С. А. Есенина
Библиотека семейного чтения им. П. П. Бажова,им. П. П. Бажова
Библиотека им. М. Горького,им. М. Горького
Центральная детская библиотека № 46 им. И. З. Сурикова (филиал № 1),им. И. З. Сурикова
Золотухинская детская модельная библиотека им. Героя Советского Союза В. В. Черинова,им. В. В. Черинова
Библиотека им. М. М. Зощенко,им. М. М. Зощенко
Библиотека № 18 им. А. М. Горького,им. А. М. Горького
Библиотека им. А. Штанько,им. А. Штанько
Центральная районная библиотека им. Габдуллы Тукая,им. Габдуллы Тукая
Библиотека им. А. Чехова г. Кургана,им. А. П. Чехова
Библиотека им. М. Горького г. Кургана,им. М. Горького
Библиотека им. Н. Некрасова г. Рыбинска,им. Н. А. Некрасова
Библиотека-филиал № 22 им. Е. А. Баратынского,им. Е. А. Баратынского
Мухинская сельская библиотека им. В. А. Архипова,им. В. А. Архипова
Центральная сельская библиотека с. п. им. М. Горького,им. М. Горького
Национально-краеведческая библиотека – филиал № 42 им. Ф. Шафигуллина,им. Ф. Шафигуллина
Библиотека семейного чтения им. И. Зуева,им. И. Зуева
Центральная детская библиотека им. А. В. Ганзен,им. А. В. Ганзен
Октябрьская библиотека № 2 им. Н. К. Жернакова,им. Н. К. Жернакова
Библиотека «Таврика» им. А. Х. Стевена – научная библиотека Центрального музея Тавриды,им. А. Х. Стевена
Качканарская городская библиотека им. Ф. Т. Селянина,им. Ф. Т. Селянина
Библиотека им. В. И. Даля г. Нижнего Новгорода,им. В. И. Даля
Городская детская библиотека – филиал № 2 им. К. И. Чуковского,им. К. И. Чуковского
Библиотека для детей № 16 им. Л. В. Дьяконова,им. Л. В. Дьяконова
Библиотека-филиал № 12 им. А. Барто,им. А. Л. Барто
Филиал № 6 – библиотека им. Г. И. Успенского г. Нижнего Новгорода,им. Г. И. Успенского
Межпоселенческая центральная районная библиотека им. П. И. Замойского,им. П. И. Замойского
Библиотека им. Г. Н. Хлебникова г. Комсомольска-на-Амуре,им. Г. Н. Хлебникова
Воробьевская библиотека им. А. А. Романова,им. А. А. Романова
Афипсипская сельская модельная библиотека им. К. Х. Жанэ,им. К. Х. Жанэ
Центральная городская библиотека им. М. Ю. Лермонтова г. Бородино,им. М. Ю. Лермонтова
Центральная библиотека им. С. И. Шуртакова г. Сергача,им. С. И. Шуртакова
Детский отдел им. В. В. Олефиренко с. Кагальник,им. В. В. Олефиренко
Библиотека им. Л. Агакова − филиал № 17,им. Л. Агакова
Библиотека № 19 им. Ф. М. Достоевского. Отдел детских инициатив,им. Ф. М. Достоевского
Городская библиотека им. А. Р. Беляева,им. А. Р. Беляева
Центральная библиотека им. А. С. Пушкина г. Черногорска,им. А. С. Пушкина
Детская библиотека им. С. Я. Маршака г. Заволжье,им. С. Я. Маршака
Центральная библиотека им. Ю. Гагарина г. Новочебоксарска,им. Ю. А. Гагарина
Игринская центральная районная библиотека им. Кедра Митрея,им. Кедра Митрея
Серафимовичская центральная районная библиотека им. А. С. Серафимовича,им. А. С. Серафимовича
Центральная библиотека им. А. С. Пушкина г. Малая Вишера,им. А. С. Пушкина
Центральная городская библиотека им. Н. К. Крупской г. Тамбова,им. Н. К. Крупской
Библиотека № 17 им. Г. Я. Бакланова г. Воронежа,им. Г. Я. Бакланова
Детская библиотека им. Веры Чаплиной,им. В. Чаплиной
Сунтарская районная библиотека им. Л. А. Попова,им. Л. А. Попова
Центр чтения детей им. Б. Абидуева,им. Б. Абидуева
Калужская областная научная библиотека им. В. Г. Белинского,им. В. Г. Белинского
Центральная детская библиотека им. А. С. Пушкина с. Большое Болдино,им. А. С. Пушкина
Библиотека-филиал № 11 им. В. В. Маяковского,им. В. В. Маяковского
Красноярская городская библиотека им. В. Белинского,им. В. Г. Белинского
Библиотека № 2 им. Н. А. Некрасова,им. Н. А. Некрасова
Старооскольский филиал Белгородской библиотеки для слепых им. В. Я. Ерошенко,им. В. Я. Ерошенко
Красноярская городская библиотека им. Н. Некрасова,им. Н. А. Некрасова
Детская библиотека № 16 библиотечно-информационного центра им. П. П. Семенова-Тян-Шанского,им. П. П. Семенова-Тян-Шанского
Детская библиотека им. И. В. Александрова,им. И. В. Александрова
Тяжинская центральная окружная библиотека им. Н. И. Масалова,им. Н. И. Масалова
"Библиотека им. М. М. Пришвина, филиал № 4",им. М. М. Пришвина
Бородулинская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Нагорьевская библиотека им. Н. А. Брыкина,им. Н. А. Брыкина
Отдел «Общение» Центральной городской библиотеки им. А. М. Каутского,им. А. М. Каутского
Центральная модельная детская библиотека им. М. Горького,им. М. Горького
Туванская сельская библиотека им. Г. И. Федорова,им. Г. И. Федорова
Красноярская городская детская библиотека им. В. Дубинина,им. В. Дубинина
Таремская библиотека им. М. С. Хорошева,им. М. С. Хорошева
Центральная детская библиотека им. Н. Н. Носова г. Тутаева,им. Н. Н. Носова
Филиал № 3 – библиотека им. И. В. Мичурина г. Нижнего Новгорода,им. И. В. Мичурина
Библиотека-филиал № 11 им. К. Станюковича,им. К. Станюковича
Детская библиотека-филиал № 16 им. Н. И. Подлесовой,им. Н. И. Подлесовой
Любимская центральная библиотека им. А. С. Пушкина,им. А. С. Пушкина
Центральная библиотека им. А. С. Пушкина г. Ногинска,им. А. С. Пушкина
Слудская библиотека им. А. В. Некрасова,им. А. В. Некрасова
Детский информационный центр им. В. Чаплиной,им. В. Чаплиной
Библиотека им. В. В. Маяковского,им. В. В. Маяковского
Светлогорская центральная библиотека им. А. З. Дмитровского,им. А. З. Дмитровского
Центральная библиотека им. А. Г. Дементьева,им. А. Г. Дементьева
Библиотека им. А. Грина,им. А. С. Грина
Центральная городская библиотека им. Н. Крупской,им. Н. К. Крупской
Библиотека № 11 им. Я. Гашека,им. Я. Гашека
Центральная городская библиотека им. В. И. Муравленко,им. В. И. Муравленко
Модельная детская библиотека-филиал № 17 им. С. Я. Маршака,им. С. Я. Маршака
Центральная районная библиотека им. Б. А. Можаева,им. Б. А. Можаева
Центральная библиотека им. П. И. Федорова,им. П. И. Федорова
Центральная детская библиотека им. А. С. Пушкина г. Сарова,им. А. С. Пушкина
Детская библиотека им. М. М. Пришвина г. Переславля-Залесского,им. М. М. Пришвина
Детская библиотека № 21 им. С. К. Устинова г. Иркутска,им. С. К. Устинова
Библиотека им. В. Шишкова,им. В. Я. Шишкова
Центральная районная библиотека им. О. М. Куваева пос. Свеча,им. О. М. Куваева пос. Свеча
Уканская сельская библиотека им. Ф. Васильева Ярского района,им. Ф. И. Васильева
Кировская ордена Почёта государственная универсальная областная научная библиотека им. А. И. Герцена,им. А. И. Герцена
Микуньская библиотека им. Б. А. Старчикова,им. Б. А. Старчикова
Воскресенская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Сельская модельная библиотека – филиал № 9 им. И. Д. Панаева,им. И. Д. Панаева
"Городская библиотека, филиал № 2 им. В. И. Марченко",им. В. И. Марченко
Межпоселенческая библиотека им. Н. И. Родичева,им. Н. И. Родичева
Порезская сельская библиотека им. В. Г. Шумихина,им. В. Г. Шумихина
Центральная городская детская библиотека им. А. П. Гайдара,им. А. П. Гайдара
Высокомысовская модельная библиотека им. В. П. Замятина,им. В. П. Замятина
Усть-Вымская библиотека им. Н. М. Дьяконова,им. Н. М. Дьяконова
Центральная детская библиотека № 46 им. И. З. Сурикова (филиал № 2),им. И. З. Сурикова
Юрьевецкая городская библиотека им. Ф. С. Грибунина,им. Ф. С. Грибунина
Сельская библиотека – филиал № 10 им. А. Я. Уваровского,им. А. Я. Уваровского
Центральная детская библиотека им. А. В. Мишина,им. А. В. Мишина
Библиотека семейного чтения им. А. Н. Кузнецова г. Орлова,им. А. Н. Кузнецова
Вологодская областная универсальная научная библиотека им. И. В. Бабушкина (здание № 2),им. И. В. Бабушкина
Центральная районная детская библиотека им. О. Кошевого,им. О. Кошевого
Камчатская краевая научная библиотека им. С. П. Крашенинникова,им. С. П. Крашенинникова
Центральная районная библиотека им. С. О. Тамба,им. С. О. Тамба
Центральная городская библиотека им. А. В. Потаниной г. Иркутска,им. А. В. Потаниной
Библиотека № 37 им. В. А. Добрякова,им. В. А. Добрякова
Сысертская библиотека для детей и юношества им. П. П. Бажова,им. П. П. Бажова
Центральная библиотека им. князя Н. Д. Долгорукова,им. князя Н. Д. Долгорукова
Красноярская центральная городская детская библиотека им. Н. Островского,им. Н. А. Островского
Нюрбинская центральная библиотека им. Ф. Г. Сафронова,им. Ф. Г. Сафронова
Библиотека № 7 им. Л. Н. Толстого,им. Л. Н. Толстого
Библиотека № 8 им. Н. А. Островского г. Перми,им. Н. А. Островского
Центральная детская библиотека им. А. М. Горького,им. А. М. Горького
Библиотека-филиал № 2 им. Н. Островского г. Туапсе,им. Н. А. Островского
Центральная библиотека им. А. М. Горького,им. А. М. Горького
Библиотека-репозиторий (Никольская) МЦБС им. М.Ю. Лермонтова,им. М. Ю. Лермонтова
Библиотека для детей им. В. П. Астафьева г. Барыша,им. В. П. Астафьева
Центральная библиотека им. А. С. Пушкина г. Воркуты,им. А. С. Пушкина
Центральная районная библиотека им. Д. А. Фурманова,им. Д. А. Фурманова
Ромодановская центральная районная библиотека им. Н. Эркая,им. Н. Эркая
Центральная модельная библиотека им. М. Ю. Лермонтова г. Ефремов,им. М. Ю. Лермонтова
Библиотека им. А. И. Люкина Московского района Нижнего Новгорода,им. А. И. Люкина
