id,registration,name,category,сultural_property,height,width,depth,preservation,description
10794,2016-06-14T09:46:13Z,Чайник дорожный,,,,,,,
10825,2016-06-14T09:46:13Z,Бутыль,,,26.5,5.5,,,"Размеры: В. 26.5, Ш. 5.5"
12084,2016-06-14T09:45:55Z,Безделушка в виде животных,,,,,,,
7909,2016-06-14T09:45:27Z,Иоанн Пророк (название изначальное); Иоанн Креститель (название употребляемое); Святой Иоанн Предтеча Креститель (название последнее)    Автор: Аноним (иконописец)    Школа / Место издания: Россия ?,,,40,30,,,"Стиль: Дерево ?    Размеры: В. 40, Ш. 30 (доска ?)    Ссылка на каталоги / инвентари: В источнике не указаны иконография, датировка, техника, требуется уточнение."
7936,2016-06-14T09:45:28Z,Богоматерь Казанская (название придуманное)    Автор: Аноним (иконописец)    Школа / Место издания: Россия    Период оригинала: 4 четверть 19 век,ИКОНА,,30,20,,,"Размеры: В. 30, Ш. 20 (доска)    Ссылка на каталоги / инвентари: Состояние: обожженое пятно (от лампады) в нижней части.  В источнике не указана техника, требуется уточнение."
18982,2017-03-02T14:36:20Z,Плащаница,РЕЛИГИОЗНЫЙ ПРЕДМЕТ,Объект является культурной ценностью,160,80,,,
4380,2016-06-14T09:45:00Z,"Вид Финского залива (название придуманное); Высокий берег Удриас близ Нарвы (название придуманное, название последнее)    Автор: Шишкин ? (художник); Шишкин Иван Иванович (художник) ?    Школа / Место издания: Россия    Период оригинала: 2 половина 19 век",ЖИВОПИСЬ,,32,57,,,"Стиль: Холст на Картоне    Размеры: В. 32, Ш. 57 (без обрамления ?, в свету ?) ?; В. 34.8, Ш. 57.2 (без обрамления ?, в свету ?) ?    Ссылка на каталоги / инвентари: Последние название и размеры из Оповещения."
17956,2016-06-14T09:46:40Z,Пионы    Автор: В.И.Куров,,,90,100,,,Размеры: В. 90 Ш. 100
5171,2016-06-14T09:45:02Z,"Голова (название придуманное)    Автор: Дерегус Михаил Гордеевич (художник); ? (гравер)    Школа / Место издания: Россия, Украина    Период оригинала: 20 век",ОТТИСК,,23,16.4,,,"Стиль: Гравюра на металле: офорт, акватинта    Размеры: В. 23, Ш. 16.4 (доска ?); В. 41.5, Ш. 30 (лист ?)"
9879,2016-06-14T09:45:37Z,Чашка,,,,,,,Инвентарный номер: Инв. № 311
8887,2016-06-14T09:45:33Z,Вера Андреевна Котляренкова позирует для натуры в классе    Автор: Соловьев Лев Григорьевич,,,,24.5,,,"Размеры: B. 39, Ш. 24,5    Инвентарный номер: Инв. № 482. 7862/191"
21562,2020-03-12T14:00:23Z,"Монета. 1 полтинник. 1926 г Серебро. Чеканка. Размер: диаметр – 2,7 см. № по книге поступлений: ТМ КП-1728/12 № по книге спецучёта: ДМ-169 № по ГК: 14818905",ПРЕДМЕТЫ НУМИЗМАТИКИ И БОНИСТИКИ,Объект является культурной ценностью,,,,Значительные механические повреждения,нет
17013,2016-06-14T09:46:34Z,Энциклопедический словарь... Т. V,,,,,,,Инвентарный номер: КП-2700/2639
11046,2016-06-14T09:46:15Z,Самовар,,,4.2,25,,,"Размеры: В. 4.2, Ш. 25.0"
23434,2023-03-13T12:13:18Z,"Монета полуполтинник. 1747 г. Россия. Серебро, чеканка. Диаметр - 25 мм., вес - 6,85 г. РЯМЗ КП-55662 Н-11819 СА-1017 ГК-38156930",,Объект является культурной ценностью,,,,"Окисление, потертость.",-
16433,2016-06-14T09:46:30Z,Скульптура-Аист.    Автор: Интизарьян Михаил Апакович    Период оригинала: середина 20 век,,,24,16.5,,,"Стиль: Глазурь, позолота.    Размеры: В.24, Ш.16.5 см    Инвентарный номер: КП-415"
14966,2016-06-14T09:46:18Z,Воин    Автор: Голов    Школа / Место издания: Россия,,,12,10,,,"Размеры: В. 10; Дл. 12    Характер подписи: Голов    Ссылка на каталоги / инвентари: На внутренней стороне крышки имелся инвентарный номер фонда оригиналов училища. Практически все работы имели механические повреждения, трещины, царапины, сколы. Точного описания повреждений работ не имели.    Инвентарный номер: № 67"
2367,2016-06-14T09:44:41Z,Бой на приступах к Берлину (название изначальное)    Автор: Сачко Филипп Николаевич (художник)    Школа / Место издания: Россия    Период оригинала: середина 20 век,,,,,,,"Ссылка на каталоги / инвентари: ХУДОЖНИКИ ЧЕЧЕНО-ИНГУШЕТИИ: с. 17    Ссылка на каталоги / инвентари: Фото: Предметы 3. и 7.  В источнике не содержатся сведения о технике, основе, размерах."
17930,2016-06-14T09:46:40Z,рисунок неизвестного автора в технике патель на панели с изображением девочки    Автор: неизвестен,,,,,,,Размеры: 100х60 см
963,2016-06-14T09:44:27Z,Спас Нерукотворный (название придуманное); Нерукотворный образ Христа (название изначальное)    Автор: Аноним (иконописец)    Школа / Место издания: Россия    Период оригинала: 19 век,ИКОНА,,42,34.5,,,"Стиль: Темпера ?; Белый: плат; Желтый, Золотистый: обрамление (?); Коричневый, Зеленый: полосы, края иконы ( поля ?)    Размеры: В. 42, Ш. 34.5 (доска)    Ссылка на каталоги / инвентари: СПИСОК / КАЛИНИНСК: № 5.    Ссылка на каталоги / инвентари: Состояние: вертикальная трещина в нижней части иконы, вздутие левкаса и красочного слоя.  В источнике не содержатся сведения о школе,  технике, наличии надписей."
8409,2016-06-14T09:44:56Z,Спас (название употребляемое); Иисус Христос Вседержитель (название изначальное); Спас Вседержитель (название придуманное)    В русском оригинале (переводе): Пантократор (название изначальное; греческий)    Автор: Аноним (ювелир)    Школа / Место издания: Россия    Период оригинала: 18 век,,,32,35,,,"Стиль: С окладом: Серебро    Размеры: В. 32, Ш. 35 (приблизительно) / В. 35, Ш. 32 (приблизительно)"
1329,2016-06-14T09:44:36Z,"Ковер - самолет (название придуманное)    Автор: Жбанов ? (художник); Жбанов Виктор Михайлович (художник) ?    Школа / Место издания: Россия, Палех    Художественно-производственные мастерские Палехского отделения Худфонда РСФСР    Период оригинала: 20 век",ЖИВОПИСЬ,,12,10,,,"Размеры: В. 12, Ш. 10 (крышка ?)    Характер подписи: 100 ?"
13864,2016-06-14T09:46:07Z,"Фотография членов семьи Романовых, их датских и английских родственников",,,,,,,
19759,2018-09-12T07:08:49Z,"Спецификация горизонтального котла системы инженера В.Г. Шухова с перечнем основных узлов. Россия, г. Москва. Начало 20 века. На двух листах. На белой бумаге. Специальный бланк с изображением котла, трех медалей за выставки. Типографский шрифт фиолетового цвета. Бумага. 36,0х22,0 см. ПМ КП 23906/2",ДОКУМЕНТ / КНИГА,Объект является культурной ценностью,,,,"Бумага пожелтела, края обтрепаны, общее загрязнение",Нет данных
4436,2016-06-14T09:44:59Z,Алхин - Юрт (название изначальное)    Автор: Айвазовский Иван Константинович (художник)    Школа / Место издания: Россия    Период оригинала: 2 четверть 19 век; 2 половина 19 век,ЖИВОПИСЬ,,132,160,,,"Размеры: В. 132, Ш. 160 (без обрамления ?)"
8511,2016-06-14T09:45:33Z,"Партизаны (название употребляемое)    Автор: Голиков Иван Иванович    Школа / Место издания: Россия, Палех    Период оригинала: 20 век",,,4,15.5,22,,"Стиль: Папье-маше, лак, темпера, миниатюрная живопись, золото    Размеры: Гл. 4; В. 22; Ш. 15,5 см    Характер подписи: Голиков И.    Характер подписи: ""И. Голиков. Палех 1936 г.""    Ссылка на каталоги / инвентари: Поступила от Литвинова С.В. по акту № 4 от 17.01.1994 г. Приказ МК РФ № 627 от 11.10.1993 г.      Инвентарный номер: КП 26095; ЛМП 256"
14956,2016-06-14T09:46:17Z,"Макет телефонного аппарата    Период оригинала: 19 век, 4 четверть, 20 век, 1 четверть",,,51,,,,"Размеры: В. 51 см    Ссылка на каталоги / инвентари: Старинный телефонный аппарат. Конец 19 в.- начало 20 в. Все внешние части деревянные вырезаны ажурно. Марка ""L.V. TRIKSON SC PATENT STOKHOLM"". Внизу наклеен герб. Металлические части: ручка, звонки, трубка - никелированные. Трубка прикреплена на шнуре. Изготовлена по заказу музея.    Инвентарный номер: Мч/оф 778"
