UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,VOCAB_TEMPORAL_BOUNDS,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,COMMENTS,GROUP_ID,GROUP_ORDER
2926291a-5ed0-4692-ad2c-8e90d4e6b62c,Book 2,Euxine,char-offset:180159,PLACE,http://pleiades.stoa.org/places/1224,Pontus Euxinus,-0750/2100,43.0786852,34.7425505,water-open,VERIFIED,,,,
5cd6ec17-005c-417e-a406-26b70dbc9c60,Book 2,Euphrates,char-offset:33436,PLACE,http://pleiades.stoa.org/places/912849,Euphrates (river),-18000/2000,34.74942377777777,40.93640094444444,river,VERIFIED,,,,
4d81329b-266b-4c70-8e2c-25bf6c420b48,Book 15,Nysa,char-offset:5650,PLACE,http://sws.geonames.org/2122694,,,,,,UNVERIFIED,,,,
6412e3de-a0dd-49be-a55d-13fb6510afa2,Book 6,Egnatia,char-offset:73982,PLACE,http://pleiades.stoa.org/places/442573,"Egnatia/Gnathia|Egnatia/Gnathia, Egnazia, Fasano",-0750/0640,40.88812,17.39188,"amphitheatre,settlement,cemetery",VERIFIED,,,,
750198c3-cbd1-437c-9e2b-8d3a34bbdeac,Book 6,Epizephyrian Locrians,char-offset:10147,PLACE,http://pleiades.stoa.org/places/452369,"Lokroi Epizephyrioi|Lokroi Epizephyrioi, Locri",-0750/2100,38.20782,16.23715,"stoa,townhouse,theatre,sanctuary,settlement",VERIFIED,,,,
b519cf06-63a8-440e-ade1-04256a02b83e,Book 4,Italy,char-offset:42913,PLACE,http://pleiades.stoa.org/places/992073,Italia (Diocese),,43.55087092641273,11.9539517875577,province,VERIFIED,,,,
a03c7827-c591-4b5d-b292-bd516c2b3eae,Book 2,Strait of Sicily,char-offset:102107,PLACE,http://pleiades.stoa.org/places/462494,Siculum Fretum,-0330/2100,38.260268,15.660384,water-open,VERIFIED,,,,
aa0d0456-7277-416d-82e8-0fdbc3fbc7b0,Book 8,Olympia,char-offset:65883,PLACE,,,,,,,UNVERIFIED,,,,
4922e544-df10-471f-b9c2-35fe7bec873c,Book 2,Pillars,char-offset:100597,PLACE,http://pleiades.stoa.org/places/256198,Herakleios Porthmos/Gaditanum Fretum,-0550/0640,35.971667,-5.485833,"river,water-open",VERIFIED,,,,
37ef3627-2ea3-4dad-a9c8-38acf6015bd2,Book 8,Eleian,char-offset:12498,PLACE,http://sws.geonames.org/1329351,,,,,,UNVERIFIED,,,,
e32796a5-c8f4-4ccd-bfca-d2c84e95c696,Book 8,Cape Antirrhium,char-offset:11050,PLACE,http://pleiades.stoa.org/places/540643,"Antirrhion Pr.|Antirrhion Pr., Ákra Andírrion",,38.327,21.7658,cape,UNVERIFIED,,,,
ca1cf8e8-11d0-453c-9920-c0ab5f57895a,Book 8,Chelonatas,char-offset:42515,PLACE,http://pleiades.stoa.org/places/570175,Chelonatas Sinus,,37.75,21.25,water-open,UNVERIFIED,,,,
5a59732b-5b6e-4953-bc4f-c0b3a26d9964,Book 2,Euphrates,char-offset:30255,PLACE,http://pleiades.stoa.org/places/912849,Euphrates (river),-18000/2000,34.74942377777777,40.93640094444444,river,VERIFIED,,,,
abbedad7-9e84-4348-9ec2-8c9f5b8ce374,Book 5,Adriatic,char-offset:82741,PLACE,http://pleiades.stoa.org/places/1004,(H)Adriaticum/Superum Mare,-0330/-0030,42.7752864,15.885196,water-open,VERIFIED,,,,
b74ac375-862e-454f-a85c-c2522e5f4f68,Book 3,Cappadocia,char-offset:105490,PLACE,http://pleiades.stoa.org/places/991402,Cappadocia,,37.5,37.5,province,VERIFIED,,,,
8fd8858b-4c28-4dc3-8a2a-8d1197a871ee,Book 2,Scythians,char-offset:139206,PLACE,http://pleiades.stoa.org/places/991379,Scythia,,42.5,27.5,province,VERIFIED,,,,
