id,registration,name,category,сultural_property,height,width,depth,preservation,description,n
5260,2016-06-14T09:45:05Z,"Графиня Голицына Наталья Петровна (название изначальное); Графиня Голицына Наталья Петровна, урожденная Чернышева (название последнее)    Автор: Митуар ? (художник); Митуар Б.Ш. (художник) ?    Школа / Место издания: Западная Европа    Период оригинала: 1 четверть 19 век",ЖИВОПИСЬ,,80,63,,,"Размеры: В. 80, Ш. 63 (без обрамления) / В. 80, Ш. 60 (без обрамления) ?    Ссылка на каталоги / инвентари: Московская Пушкиниана / 1: № 54 (копия)    Ссылка на каталоги / инвентари: Фото: 21f3104b - цветное, см. Ссылку; 21f3104 - из фондов музея; фото 21f3104a - происхождение неизвестно, требуется уточнение, см. Источники - Кончин.",2320
3447,2016-06-14T09:44:51Z,Вознесение Господне (название употребляемое); Вознесение Христово (название изначальное)    Автор: Аноним (иконописец)    Школа / Место издания: Россия    Период оригинала: 4 четверть 19 век,ИКОНА,,30,35,,,"Размеры: В. 30, Ш. 35 (приблизительно) / В. 35, Ш. 30 (приблизительно)",2496
4815,2016-06-14T09:45:00Z,Иисус Христос  (название изначальное) # Святой Николай Чудотворец  (название изначальное) # Святой Георгий  Победоносец  (название изначальное) # Святая Варвара (название изначальное)    Автор: Аноним (иконописец)    Школа / Место издания: Россия    Период оригинала: 19 век,ИКОНА,,34.6,44.6,,,"Стиль: Золотистый, Коричневый: бронзовый порошок    Размеры: В. 34.6, Ш. 44.6 (доска) / В. 44.6, Ш. 34.6 (доска)    Ссылка на каталоги / инвентари: В источнике: икона разделена на 4 части тонкой белой полоской и растительным орнаментом.  Состояние: после реставрации (год не указан); доска погнута; на всей поверхности кракелюр; на обороте чатичные утраты (дерево изъедена жучками).",2496
7837,2016-06-14T09:45:27Z,Пресвятая Богородица (название старое); Богоматерь (название употребляемое)    Автор: Аноним (иконописец)    Школа / Место издания: Россия ?,ИКОНА,,38,32,,,"Стиль: Дерево ?    Размеры: В. 38, Ш. 32 (доска ?)    Характер подписи: [7 строк] (в нижней части)    Ссылка на каталоги / инвентари: В источнике не указаны иконография, датировка, материал и техника, требуется уточнение.",2496
5061,2016-06-14T09:45:04Z,Женский портрет (название употребляемое)    Автор: Махонин ? (художник); Махонин Филипп Федорович (художник) ?    Школа / Место издания: Россия    Период оригинала: 19 век ?; 2 половина 20 век ?,РИСУНОК,,23,22.6,,,"Размеры: В. 23, Ш. 22.6 (лист ?)",142
1054,2016-06-14T09:44:24Z,"Парочка (название употребляемое); Поцелуй (название последнее)    Автор: Аноним (художник); Лукутин Николай Александрович (фабрикант); ? (с оригинала)    Школа / Место издания: Россия, Федоскино    Лукутины (фабрика лаковых изделий)    Период оригинала: 4 четверть 19 век",ЖИВОПИСЬ,,9,6.5,2,,"Стиль: Зеленый: внешнее покрытие; Черный: внутреннее покрытие; Прямоугольник: портсигар; Овал, Неправильной формы: пасхальное яйцо-медальон, в котором изображена сцена;    Размеры: В. 2, Дл. 9, Ш. 6.5 (предмет); В. 9., Ш. 6.5 (крышка)    Характер подписи: 3 орла ( О. крышка, золотом); Фаб. Лукутина (О. крышка, золотом)    Ссылка на каталоги / инвентари: СПИСОК ГИМ, 1989: № 8",2320
4801,2016-06-14T09:45:01Z,"Покров Богоматери (название изначальное); Покров Пресвятой Богородицы (название употребляемое); Покров Пресвятыя Богородицы (название старое)    Автор: Аноним (иконописец); ? (чеканщик, гравер, ювелир)    Школа / Место издания: Россия    Период оригинала: 3 четверть 19 век (оклад)",ИКОНА,,43.1,35,,,"Стиль: С окладом, ризой, С венцами, накладками: Серебро    Размеры: В. 43.1, Ш. 35 (в окладе)    Характер подписи: ОБР. ПОКРОВЪ. ПРЕ. (чеканная ?, гравированная ?); Н.Б ( заворот, именник мастера); П.Ф (заворот, именник пробирного мастера); 1867 (пробирное клеймо); ? ( заворот, городовое клеймо г. Калуги); 14/27 (?)    Ссылка на каталоги / инвентари: Состояние: утрачены венец Романа, венчики Святых в окружении Богоматери (1981).  В источнике не указана датировка, техника живописи, см. Источники.",2496
117,2016-06-14T09:44:18Z,"Пейзаж (название употребляемое)    Автор: Подушко Зиновий Григорьевич (художник)    Школа / Место издания: Россия ?, Украина ?    Период оригинала: 1 четверть 20 век",ЖИВОПИСЬ,,109,100,,,"Размеры: В. 109, Ш. 100 (без обрамления) / В. 100, Ш. 109 (без обрамления)    Ссылка на каталоги / инвентари: ЧИХМ: № 4    Ссылка на каталоги / инвентари: Дата: в Источнике есть запись ""на экз. 1914 г."".",2320
7900,2016-06-14T09:45:28Z,Святой Николай Чудотворец (название изначальное)    Автор: Аноним (иконописец); Аноним (мастер)    Школа / Место издания: Россия ?,ИКОНА,,25,30,,,"Стиль: Дерево поделочное; С окладом/ризой: Латунь ?/ Медь ?/ Серебро ?/ Белая жесть ?/ Другое ?, металл (?)    Размеры: В. 25, Ш. 30 (в окладе ?) / В. 30, Ш. 25 (в окладе ?)    Ссылка на каталоги / инвентари: В источнике не указаны датировка, материал оклада, требуется уточнение.",2496
9067,2016-06-14T09:45:35Z,Портрет военного    Автор: Неизвестный художник,ЖИВОПИСЬ,,,52,,,"Размеры: B. 69, Ш. 52    Инвентарный номер: Старый инв. №457 по ИК ВКМ",2320
6581,2016-06-14T09:45:18Z,Святой Николай Чудотворец (название изначальное)    Автор: Аноним (иконописец); Аноним (мастер)    Школа / Место издания: Россия ?,ИКОНА,,40,50,,,"Стиль: С окладом: Бронза ?    Размеры: В. 40, Ш. 50 (в окладе ?) / В. 50, Ш. 40 (в окладе ?)    Характер подписи: Рублев (?)    Характер подписи: Рублев (подпись ?), см. Общий комментарий.    Ссылка на каталоги / инвентари: В источнике: запись"" подпись Рублева"", без уточнений.",2496
9070,2016-06-14T09:45:35Z,Пруд    Автор: Репин Юрий Ильич,ЖИВОПИСЬ,,,32,,,"Размеры: B. 45, Ш. 32    Инвентарный номер: Инв. №63. ИНВ. №747 н №1080 по ИК ВКМ",2320
9343,2016-06-14T09:45:39Z,Две фигуры    Автор: Пакулин Вячеслав Владимирович,ЖИВОПИСЬ,,,69,,,"Размеры: B. 104, Ш. 69    Инвентарный номер: Инв. № 83. Инв. № 798 и №1246 по ИК ВКМ",2320
10132,2016-06-14T09:45:43Z,Москва - река    Автор: Налбандян Д.А.,ЖИВОПИСЬ,,,60,,,"Размеры: B. 80, Ш. 60",2320
7488,2016-06-14T09:45:24Z,Рождество Христово (название изначальное)    Автор: Аноним (иконописец); Аноним (мастер)    Школа / Место издания: Россия ?,ИКОНА,,25,50,,,"Стиль: С басмой ?/ С окладом/ризой ?: Латунь ?/ Медь ?/ Белая жесть ?/ Другое ?    Размеры: В. 25, Ш. 50 (доска ?) / В. 50, Ш. 25 (доска ?)    Ссылка на каталоги / инвентари: В источнике не указаны датировка, материал и техника, требуется уточнение.",2496
15757,2016-06-14T09:46:22Z,Св. Архистратиг Гавриил    Автор: Баженов А.В.    Период оригинала: Конец 19 века,ИКОНА,,110,50,,,"Стиль: Орнамент по периметру-чеканка по левкасу, сусальное золото, троверное золото.    Размеры: В.110, Ш.50 см    Ссылка на каталоги / инвентари: Ярославская обл., Некрасовский  район, с. Никольское, Храм Святителя Николая. Похищение произошло 24.04.2007 г.",2496
2015,2016-06-14T09:44:41Z,Золотая свадьба (название изначальное)    Автор: Китаев ? (художник); Китаев  Ахмед Ибадуллович (художник) ?    Школа / Место издания: Россия    Период оригинала: 2 половина 20 век,ЖИВОПИСЬ,,35,50,,,"Размеры: В. 35, Ш. 50 (картон) ?/ В. 50, Ш. 35 (картон) ?/    Ссылка на каталоги / инвентари: ЧГОМ: № 205",2320
