name,address,longitude,latitude,description,creation_time,modification_time,mo_from,mo_to,tu_from,tu_to,we_from,we_to,th_from,th_to,fr_from,fr_to,sa_from,sa_to,su_from,su_to
Староиркеняшская сельская библиотека – филиал № 10,"Респ Татарстан,р-н Мензелинский,с Старый Иркеняш,ул Иманле,д 20",53.268425,55.498021,"В 1962–1982 годах библиотека располагалась в здании старого клуба на улице Советской, где работала Мугинова Нурдида Ахатовна. В 1985 году было построено новое двухэтажное здание клуба, библиотека переехала на второй этаж. В настоящее время заведующая библиотекой – Ахметзянова Лайсания Мухтаровна. Фонд составляет 10 077 экземпляров (9 245 – книги, 822 – брошюры), из них 4 463 – книги для детей. Библиотека обслуживает 5 сел, количество читателей – 400 человек. Учреждение работает со всеми возрастными категориями. Участвует в международных, республиканских и районных акциях. Также здесь ведут деятельность клубы по интересам для детей и взрослых.",2021-04-20T08:42:01Z,2023-01-27T13:43:26Z,08:00:00,15:00:00,08:00:00,15:00:00,08:00:00,15:00:00,08:00:00,15:00:00,08:00:00,15:00:00,10:00:00,18:00:00,,
Бурнашевская сельская библиотека,"Респ Татарстан,р-н Апастовский,с Бурнашево,ул Советская,д 35",48.766923,55.241698,"Библиотека была открыта в 1948 году в селе Азимово. В 1967 году ее перевели в село Альмендерево. В 1971 году библиотека по просьбе учителей Бурнашевской школы была переведена в село Бурнашево. В 1973 году построили новое здание. В июле 2010 года переехала еще раз.В настоящее время учреждение обслуживает жителей деревень Бурнашево, Альмендерово, Азимово. Услугами библиотеки ежегодно пользуются более 516 читателей. Фонд содержит художественную, общественно-политическую, естественно-научную и медицинскую литературу – 7 503 экземпляра. Он регулярно пополняется новыми материалами. Количество посещений за год – 6 225.",2021-03-26T06:00:51Z,2023-01-31T13:54:40Z,09:00:00,17:00:00,,,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,13:00:00,09:00:00,13:00:00
Библиотека-филиал № 3 г. Зеленодольска,"Респ Татарстан,р-н Зеленодольский,г Зеленодольск,ул Заикина,д 16",48.525447,55.850772,"1947 год. Первая послевоенная пятилетка. В городе открылась библиотека соцпоселка. Позднее она стала носить имя Л. Н. Толстого. В 1949 г. переехала в просторную деревянную избу с печным отоплением на ул. Лермонтова. В 1948 году заведующей стала А. Г. Полякова. При Р. Н. Ильяковой прошло два переезда: осенью 1975 года – во временное помещение на ул. К. Маркса, в 1977 году – в новое цокольное помещение на ул. Заикина, где библиотека находится до сих пор. С ноября 2005 года заведующая – И. В. Ершова.Книжный фонд – 23 999 экземпляров. Книговыдача – 56 262. Библиотека получает 16 газет и 42 журнала.Количество читателей – 2 328 человек. Посещений – 20 569. Имеется доступ в интернет. Среди читателей – студенты, школьники, рабочие и служащие, пенсионеры. Библиотека привлекает новых читателей, ведет популяризацию литературы по различным направлениям, осуществляет информационно-библиографическую деятельность, организует досуг населения. На базе учреждения работает клуб «Наше наследие». Приоритетное направление деятельности клуба – патриотическое воспитание. Меняются времена, но неизменными остаются традиции в сочетании с инновационными формами: литературные и музыкальные вечера, вернисажи, конкурсы, викторины, беседы и обзоры книжных новинок.",2021-03-26T11:59:29Z,2023-02-21T14:24:47Z,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,,,,
Урнашбашская сельская библиотека – филиал № 45,"Респ Татарстан,р-н Арский,с Урнашбаш,ул Молодежная,д 6",49.611411,56.171227,"С 1954 года в селе Урнашбаш начала работать библиотека, ее книжный фонд составлял 1 265 книг. В этот период здесь работали Халитова Мунира и Зайнап-апа. С 12 сентября 1961 года должность библиотекаря заняла Хасанова Сауда. В 1972 году был построен новый Дом культуры, и одна из его комнат была переоборудована под библиотеку. С 1997 года в библиотеке работает Гараева (Хасанова) Венера Харисовна. В 2003 году был проведен ремонт здания. В 2016 году в селе Урнашбаш открылись новый многофункциональный Дом культуры, библиотека, ФАП. Библиотека в селе является центром не только культуры, но и общения сельчан. Сюда приходят за духовной пищей, за советом, с пользой провести свободное время. Здесь можно спокойно посидеть, полистать газеты и журналы, погрузиться в виртуальный мир, встретиться и побеседовать с другими людьми, посетить мероприятия и семинары. На сегодняшний день количество читателей – 283 человека, библиотечный фонд – 8 612 экземпляров книг.",2021-05-25T20:48:49Z,2023-02-22T13:33:15Z,10:00:00,16:00:00,10:00:00,18:00:00,10:00:00,18:00:00,09:00:00,16:00:00,10:00:00,12:00:00,19:00:00,21:00:00,,
Кубянская сельская библиотека,"Респ Татарстан,р-н Атнинский,с Кубян,ул Школьная,д 8",49.384398,56.296789,"В 1934 году в селе Кубян появилась первая изба-читальня, она располагалась в здании колхозного управления. В избе-читальне молодежь проводила досуг, в ней была отгорожена небольшая комната для книг, газет и журналов. Так сельская молодежь приобщалась к культуре чтения. В настоящее время Кубянская библиотека находится в центре села, в здании детского сада. При ней действуют 3 библиотечных пункта и ведет активную деятельность познавательно-развивающий клуб для дошкольников «Бәләкәч». Библиотека обслуживает жителей сел Кубян и Дусюм.Книжный фонд насчитывает свыше 6 000 экземпляров. Ежегодно услугами библиотеки пользуется около 600 человек. Библиотека ведет библиотечно-информационное обслуживание населения, обеспечивает свободный доступ к информации, знаниям, культурным ценностям, а также проводит культурно-массовые мероприятия по продвижению книги и чтения.",2021-12-23T15:22:36Z,2023-08-18T05:49:46Z,11:00:00,17:00:00,11:00:00,17:00:00,11:00:00,17:00:00,11:00:00,17:00:00,11:00:00,17:00:00,11:00:00,17:00:00,,
Штырьская сельская библиотека – филиал № 52,"Респ Татарстан,р-н Арский,с Штырь,Советская ,62",49.8022635423279,55.9616500090547,"Первая библиотека в селе Штырь открылась в 1953 году. До этого в селе работала передвижная библиотека. Фасахат Гарафиева – первый библиотекарь села. Первая библиотека начинает свою работу в здании клуба. С 1979 года до 2008 года библиотекарем села работает Замалиева Муршида . С 2010 года работает Зайнутдинова Муршида.Приоритетным направлением работы библиотеки является нравственное, патриотическое и экологическое воспитание, здоровый образ жизни, краеведение. Библиотека в селе для читателей является информационным, учебным и культурным центром. Самая большая читательская группа в библиотеки – это дети школьного возраста и студенты. При работе с детьми уделяется большое внимание индивидуальным беседам, тщательно продумываются книжные выставки, тематика массовых мероприятий. Большой популярностью у детей пользуются познавательные игры, игры-путешествия, проводятся познавательные часы литературные праздники. Различные конкурсные программы для детей и взрослых.Фонд библиотеки – 6888 экземпляров книг, число читателей – 290.",2022-04-07T13:18:26Z,2023-02-22T08:28:41Z,10:00:00,16:00:00,10:00:00,16:00:00,10:00:00,16:00:00,10:00:00,16:00:00,10:00:00,14:00:00,11:00:00,14:00:00,,
Нижнесуньская сельская библиотека-филиал № 24,"Респ Татарстан,р-н Мамадышский,с Нижняя Сунь,ул Карла Маркса,д 18",50.918675,55.655884,"В 1965 году библиотека была переведена из с. Кулущи в с. Нижняя Сунь. Размещалась в Доме культуры. В 1971 году библиотека была перенесена в здание сельсовета, расположенное в центре села. В 1972 году ее перевели в дом богача Давли, построенный до революции. В 1989 году стараниями председателя колхоза Бадрутдинова Гусмана было перестроено здание Дома культуры со специальным помещением для библиотеки. В настоящее время книжный фонд составляет 9 288 экземпляров, количество посещений – 5 032. Сюда любят приходить, чтобы почитать фантастику, исторические романы и классику. Взрослые предпочитают читать детективы, любовные романы современных авторов. Для читателей оформляют тематические книжные выставки, проводят мероприятия. Библиотека стремится соответствовать ожиданиям сельчан, является центром общественной и культурной жизни сельского поселения.",2021-04-20T10:47:33Z,2023-03-01T12:20:54Z,09:00:00,22:00:00,09:00:00,22:00:00,09:00:00,22:00:00,09:00:00,22:00:00,09:00:00,22:00:00,18:00:00,21:45:00,,
Библиотека-филиал № 2 г. Зеленодольска,"Респ Татарстан,р-н Зеленодольский,г Зеленодольск,ул Большая Заводская,д 75",48.576902,55.840422,"Первое упоминание о библиотеке датируется 1945 годом. Размещалась она в здании клуба Зеленодольского фанерного завода. В 1947 году библиотеке присвоили статус «Государственная массовая библиотека им. Н. К. Крупской», а в 1982 году она переехала в новое помещение. Фонд филиала – более 10 600 экземпляров. Кроме доступного чтения, библиотека предоставляет доступ к информации через интернет, проводит культурные массовые мероприятия по основным направлениям календаря знаменательных и памятных дат, досуговые мероприятия для детей и подростков. Сейчас она представляет собой небольшой культурный центр на территории станции Зеленый Дол.",2019-05-23T11:51:48Z,2023-02-21T13:25:36Z,,,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,,
Муслюмкинская сельская библиотека – филиал № 18,"Респ Татарстан,р-н Чистопольский,с Муслюмкино,ул Пионерская,влд 10",50.60175,55.197451,"Муслюмкинская сельская библиотека-филиал № 18 основана 1936 году. Библиотека находится в здании Дома культуры. С 1947 года работал ветеран Великой Отечественной войны Низамов Г. Г. С 1959 по 1984 годы оказывала библиотечные услуги Файзутдинова М. Э. Она проводила много тематических конференций, вела большую общественную работу: была агитатором, занималось пропагандой идей и решений съездов партий и комсомола, перед населением читала доклады. С 2021 года руководит библиотекой методист Хасаншина Г. Библиотека сегодня:фонд – 12 740 экз.;число читателей – 528 чел.;количество посещений – 7 679;книговыдача – 12 544 экз.",2021-03-31T11:17:57Z,2023-01-31T08:25:33Z,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,15:00:00,,
Староисаковская сельская библиотека – филиал № 27,"Респ Татарстан,р-н Бугульминский,с Старое Исаково,ул Советская,д 46",53.023949,54.454302,"Библиотека в селе Старое Исаково была открыта в 1953 году. Она находилась в маленьком деревянном здании с печным отоплением. Затем переехала в одноэтажное деревянное здание Дома культуры. И уже в 1984 году, когда закончилось строительство нового здания Староисаковского сельского Дома культуры и по настоящее время, библиотека находится в этом здании на втором этаже. Занимаемая площадь библиотеки – 89,4 кв.м. Имеется компьютер с выходом в Интернет. Староисаковская сельская библиотека-филиал № 27 обслуживает 428 жителя села Старое Исаково, в том числе 71 детей. В зоне обслуживания библиотеки жители села Старое Исаково, деревни Сугушла, деревень Новое Исаково, Бакирово, Анненково. По итогам 2022 года число посещений составило 3 955, из них 1 399 человек посетили массовые мероприятия; книговыдача – 8 433 экземпляров, в т. ч. детской – 3 953. Книжный фонд на 01.01.2023 г. составил 9 154 экземпляра книг. Отличительной особенностью библиотеки является совместная работа с Сугушлинским СК, где располагаются музейные комнаты, посвященные Газинуру Гафиатуллину – Герою Советского Союза, великому сыну татарского народа. Цикл мероприятий, проведенных совместно с работниками клубно-музейного учреждения, известен не только в Бугульминском районе, но и по всей республике.",2017-02-09T10:50:00Z,2023-02-02T08:07:56Z,08:00:00,12:00:00,08:00:00,12:00:00,08:00:00,12:00:00,08:00:00,12:00:00,08:00:00,12:00:00,08:00:00,12:00:00,,
