author,title,text,published,plot
"Baring, Maurice",Passing By,"_Friday, December_ 18_th_, 1908. _Gray's Inn_.",1921,
"Baring, Maurice",Passing By,"_Saturday, December_ 19_th_.",1921,
"Baring, Maurice",Passing By,"_Thursday, January_ 1_st_, 1909. _Gray's Inn_.",1921,
"Baring, Maurice",Passing By,"_Monday, February_ 2_nd_.",1921,
"Baring, Maurice",Passing By,"_Sunday, February_ 8_th_.",1921,
"Baring, Maurice",Passing By,"_Monday, February_ 9_th_.",1921,
"Baring, Maurice",Passing By,"_Tuesday, February_ 10_th._",1921,
"Baring, Maurice",Passing By,"_Monday, February_ 16_th. Gray's Inn_.",1921,
"Baring, Maurice",Passing By,"_Tuesday, February_ 17_th. Gray's Inn_.",1921,
"Baring, Maurice",Passing By,"_February_ 19_th_, 1909.",1921,
"Baring, Maurice",Passing By,"_Monday, March_ 1_st_.",1921,
"Baring, Maurice",Passing By,"_Tuesday, March_ 2_nd_.",1921,
"Baring, Maurice",Passing By,"_Wednesday, March_ 3_rd_.",1921,
"Baring, Maurice",Passing By,"_Thursday, March_ _4th_.",1921,
"Baring, Maurice",Passing By,"_Friday, March_ 5_th_.",1921,
"Baring, Maurice",Passing By,"_Saturday, March_ 6_th_.",1921,
"Baring, Maurice",Passing By,"_Sunday Night, March_ 7_th_.",1921,
"Baring, Maurice",Passing By,"_Monday, March_ 8_th_.",1921,
"Baring, Maurice",Passing By,"_Monday, March_ 8_th_.",1921,
"Baring, Maurice",Passing By,"_Tuesday, March_ 9_th_.",1921,
"Baring, Maurice",Passing By,"_Wednesday, March_ 10_th_.",1921,
"Baring, Maurice",Passing By,"_Thursday, March_ 11_th_.",1921,
"Baring, Maurice",Passing By,"_Friday, March_ 12_th_.",1921,
"Baring, Maurice",Passing By,"_Saturday, March_ 13_th._",1921,
"Baring, Maurice",Passing By,"_Sunday Night, March_ 14_th._",1921,
"Baring, Maurice",Passing By,"_Sunday, March_ 14_th._",1921,
"Baring, Maurice",Passing By,"_Monday, March_ 16_th._",1921,
"Baring, Maurice",Passing By,"_Tuesday, March_ 17_th._",1921,
"Baring, Maurice",Passing By,"_Wednesday, March_ 17_th._",1921,
"Baring, Maurice",Passing By,"_Thursday, March_ 18_th._",1921,
"Baring, Maurice",Passing By,"_Friday, March_ 19_th._",1921,
"Baring, Maurice",Passing By,"_Saturday, March_ 20_th._",1921,
"Baring, Maurice",Passing By,"_Sunday Evening, March_ _21_st.",1921,
"Baring, Maurice",Passing By,_March_ 25_th._,1921,
"Baring, Maurice",Passing By,"_Sunday, March_ 29_th. Hotel St Romain, Rue St Roch, Paris_",1921,
"Baring, Maurice",Passing By,"_Tuesday, March_ 30_th. Villa Fersen, Florence_",1921,
"Baring, Maurice",Passing By,"_Wednesday, March_ 31_st_.",1921,
"Baring, Maurice",Passing By,"_Thursday, April_ 1_st_.",1921,
"Baring, Maurice",Passing By,"_Friday, April_ 2_nd_.",1921,
"Baring, Maurice",Passing By,"_Saturday, April_ 3_rd_.",1921,
"Baring, Maurice",Passing By,"_Easter Sunday, April_ 4_th._",1921,
"Baring, Maurice",Passing By,"_Monday, April_ 5_th._",1921,
"Baring, Maurice",Passing By,"_Tuesday, April_ 6_th._",1921,
"Baring, Maurice",Passing By,"_Wednesday, April_ 7_th_.",1921,
"Baring, Maurice",Passing By,"_Thursday, April_ 8_th._",1921,
"Baring, Maurice",Passing By,"_Friday, April_ 9_th._",1921,
"Baring, Maurice",Passing By,"_Saturday, April_ 10_th._",1921,
"Baring, Maurice",Passing By,"_Thursday, April_ 8_th_.",1921,
"Baring, Maurice",Passing By,"_Sunday, May_ 9_th._",1921,
"Baring, Maurice",Passing By,"_Wednesday, May_ 12_th._",1921,
"Baring, Maurice",Passing By,"_Wednesday,_ May 19_th_.",1921,
"Baring, Maurice",Passing By,"_Monday, May_ 24_th._",1921,
"Baring, Maurice",Passing By,"_Monday, May_ 3_rd. Gray's Inn_.",1921,
"Baring, Maurice",Passing By,"_Tuesday, May_ 4_th._",1921,
"Baring, Maurice",Passing By,"_Wednesday, May_ 5_th._",1921,
"Baring, Maurice",Passing By,"_Thursday, May_ 6_th._",1921,
"Baring, Maurice",Passing By,"_Friday, May_ 7_th._",1921,
"Baring, Maurice",Passing By,"_Sunday, May_ 9_th_",1921,
"Baring, Maurice",Passing By,"_Monday, May_ 10_th._",1921,
"Baring, Maurice",Passing By,"_Tuesday, May_ 11_th._",1921,
"Baring, Maurice",Passing By,"_Wednesday, May_ 12_th._",1921,
"Baring, Maurice",Passing By,"_Thursday, May_ 13_th._",1921,
"Baring, Maurice",Passing By,"_Friday, May_ 14_th._",1921,
"Baring, Maurice",Passing By,"_Saturday, May_ 15_th._",1921,
"Baring, Maurice",Passing By,"_Sunday, May_ 16_th._",1921,
"Baring, Maurice",Passing By,"_Monday, May_ 17_th_.",1921,
"Baring, Maurice",Passing By,"_Tuesday, May_ 18_th._",1921,
"Baring, Maurice",Passing By,"_Wednesday, May_ 19_th._",1921,
"Baring, Maurice",Passing By,"_Thursday, May_ 20_th._",1921,
"Baring, Maurice",Passing By,"_Friday, May_ 21st.",1921,
"Baring, Maurice",Passing By,"_Saturday, May_ 22_nd_.",1921,
"Baring, Maurice",Passing By,"_Monday, May_ 24_th._",1921,
"Baring, Maurice",Passing By,"_Tuesday, May_ 25_th._",1921,
"Baring, Maurice",Passing By,"_Wednesday, May_ 26_th._",1921,
"Baring, Maurice",Passing By,"_Thursday, May_ 27_th._",1921,
"Baring, Maurice",Passing By,"_Friday, May_ 28_th._",1921,
"Baring, Maurice",Passing By,"_Sunday, May_ 30_th. Rosedale, Surrey._",1921,
