title,type,rating,price,description,preparation_time,preparation_amount,Бисквитный,Мёд,Цитрусы,Цветочный,Фруктовый,Пряные травы,Специи,Ржаной хлеб,Древесный,Ягодный,Мятный,Сухофрукты,Осенний лист,Грибной,Сливочный,Ореховый,Бальзамический,Хлебный,Овощной,Землистый,Шоколадный,Горчинка,Копченый,Черносливовый,Темный солод,Минеральный,Травянистый,Табачный,Молочный,Коньячный,Шампанское,Кислинка,Терпкость,Кофейный,Жареные семечки подсолнуха,Сладость,Хвойный,Зеленое яблоко
Лугу Дундин Бисай Улун,ulun,92,4200,"«Конкурсный» улун из высокогорного округа Наньтоу (центральная часть о.Тайвань). Участвовал в ежегодном тайваньском Чайном конкурсе. В процессе обработки пропечен на древесных углях. В сухом виде: среднего размера бурые комочки скрученных чайных побегов. Аромат интенсивный, пряно-травянистый с табачной ноткой. Настой прозрачный, оттенка белого вина. Букет готового чая многогранный, пряно-травянистый с бисквитными, цветочными, ореховыми, табачными и фруктовыми нотками. Аромат теплый, пряно-ореховый. Вкус плотный, маслянистый, сладковатый, немного терпкий, с фруктовой кислинкой и освежающим послевкусием. Заваривать горячей водой (90-95°С) в чайнике из пористой глины или в гайвани. Пропорция заварки к воде: 6 г на 100 мл. Для первого раза настоять 30 секунд, затем, начиная с экспозиции в 10 секунд и увеличив время выдержки до 2 минут, можно заварить 10 раз. Отличный выбор для церемонии гунфуча. Воздействие согревающее, тонизирующее.",10,6,60,,,60,40,80,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,
"Чарующий шу (Мэнхай У Цзи, 2019), 100 г",puer,82,708,"100-граммовый блинчик средней плотности, состоящий из спрессованных, скрученных, темно-коричневых листиков и их фрагментов. Аромат сдержанный, древесный. Настой темного каштанового оттенка. Букет готового чая зрелый, ореховый с нотками хлеба, древесных смол, прелых осенних листьев и сухофруктов. Аромат густой и теплый, ореховый с ноткой чернослива. Вкус плотный, немного терпкий, бархатистый, сладковатый, с легкой горчинкой какао-бобов. Заваривать горячей водой (95°С) в чайнике из пористой глины или в гайвани. Пропорция заварки к воде: 6-8 г на 100 мл. Для первого раза настоять 10 секунд, после чего пить проливом с постепенным увеличением экспозиции. Сохраняет вкус и аромат 9 завариваний. Отличный шу пуэр - бодрящий, яркий и ароматный.",3,7,,,,,,,,,80,,,60,,,,80,60,60,,,,,,,,,,,,,,,,,,,,
Мэнхай Шу Шэнтай Пуэр (2020),puer,92,830,"В сухом виде: среднего размера, коричневые, скрученные листики, рыжие почки и тонкие черенки. Аромат очень сдержанный, древесный с тонкой овощной ноткой. Настой прозрачный, каштанового оттенка. Букет готового чая зрелый, ореховый, с нотками древесных смол, специй, какао бобов и печеного картофеля. Аромат густой и теплый, древесно-ореховый. Вкус плотный, гладкий, маслянистый, сладковатый, пряный, с мятной прохладой, кислинкой сухих ягод и бархатистым послевкусием. Заваривать горячей водой (95°С) в чайнике из пористой глины. Пропорция сухого чая к воде: 6-7 г на 100 мл. Для первого раза настоять 10 секунд, после пить проливом с постепенным увеличением экспозиции. Держит вкус и аромат 8 завариваний. Воздействие согревающее, умеренно тонизирующее.",5,7,,,,,,,80,,80,,,,,,,100,,,80,,40,,,,,,,,,,,,,,,,,
Вэньшань Баочжун Чэнь Нянь Ча (1986),ulun,100,17100,"В сухом виде: среднего размера бордово-коричневые жгутики скрученных листьев, их фрагменты и тонкие черенки. Аромат сдержанный, древесный с ноткой сухофруктов. Настой прозрачный, оттенка красного дерева. Букет готового чая зрелый, многогранный, фруктово-древесный, с коньячными, бальзамическими и пряными нотками. Аромат теплый, сложный, фруктовый. Вкус мягкий, шелковистый, сладковатый, с фруктовой кислинкой и нюансами специй – сильно меняется на протяжении чаепития, играя множеством оттенков. Заваривать горячей водой (95°С) в чайнике из пористой глины с толстыми стенками. Пропорция сухого чая к воде: 6 г на 100 мл. Для первого раза настоять 30 секунд, после, начиная с экспозиции в 10 секунд и доведя время до 2 минут, можно заварить 12 раз. Отличный выдержанный чай, с многогранным вкусом, чарующим ароматом и согревающим, расслабляющим воздействием.",10,6,,,,,80,60,,,80,,,,,,,,60,,,,,,,,,,,,,60,,,,,,,,
Те Гуаньинь Дэпин,ulun,90,750,"Улун «Те Гуаньинь» урожая 2023 г. из фермерского хозяйства Дэпин (район Ганьде, уезд Аньси). Сделан по технологии цинсян (легкая ферментация, прогрев при низких температурах). В сухом виде: среднего размера зеленые комочки скрученных чайных побегов. Аромат интенсивный, травянисто-цветочный. Настой прозрачный, светлого желто-зеленого оттенка. Букет готового чая свежий, травянисто-цветочный, с дынной ноткой. Аромат интенсивный, нежный, травянисто-цветочный. Вкус сочный, плотный, маслянистый, с легкой фруктовой кислинкой и тонкой горчинкой, вновь и вновь рождающей сочную сладость послевкусия. Заваривать горячей водой (80-85°С) в фарфоровой гайвани, чайнике из пористой глины или селадона. Пропорция заварки к воде: 6 г на 100 мл. Для первого раза настоять 5-7 секунд после чего пить проливом с постепенным увеличением экспозиции. Выдерживает 10 завариваний. Прекрасный выбор, чтобы снять усталость, зарядиться энергией и настроиться на оптимистическую волну.",1,6,,,,80,60,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,
"Тайский шэн пуэр с диких деревьев деревни Банлао (Tea forest project, bunch22SP01, май 2022), 200 г",puer,94,10600,"200-граммовый блинчик средней плотности, легко разделяется на бурые жгутики скрученных листиков и серебристо-бежевые почки. Аромат интенсивный, пряно-древесный. Настой прозрачный, оттенка белого винограда. Букет готового чая яркий, многогранный, пряно-травянистый с ореховыми, грибными, бальзамическими и фруктовыми нотками. Аромат сложный, интенсивный, пряно-цветочный с грибной ноткой. Вкус плотный и гладкий, маслянистый, с фруктовой кислинкой, нюансами специй и долгим, лимонно-мятным послевкусием. Заваривать горячей водой (85-90°С) в гайвани или чайнике из пористой глины. Пропорция заварки к воде: 6-7 г на 100 мл. Для первого раза настоять 10 секунд, после чего пить проливом с постепенным увеличением экспозиции. Выдерживает 10 заварок. Превосходный молодой пуэр – живой, многогранный и очень ароматный. При правильном хранении с годами обещает быть только лучше (если избежит участи быть выпитым немедленно). Пожалуйста, обратите внимание что целостность бумажной упаковки может иметь небольшие повреждения, что, однако, не сказывается на характеристиках самого чая.",5,7,,,,,40,80,,,,,,,,40,,80,60,,,,,,,,,,,,,,,,,,,,,
"Таиландский шэн пуэр с диких деревьев, полностью ручное производство, Moychay Tea Forest Project, batch-First-2022, (limited 72 pieces), 357 г",puer,80,14970,"357-граммовый блинчик средней плотности, легко разделяется на бурые жгутики скрученных листиков и серебристо-бежевые почки. Аромат нежный, пряно-травянистый. Настой прозрачный, оттенка белого винограда. Букет готового чая свежий, многогранный, пряно-травянистый с цветочными, бальзамическими и фруктовыми нотками. Аромат сложный, пряно-травянистый. Вкус плотный, очень мягкий, маслянистый, чуть вяжущий, с фруктовой кислинкой, нюансами специй и долгим мятным послевкусием. Заваривать горячей водой (90°С) в гайвани или чайнике из пористой глины. Пропорция заварки к воде: 6 г на 100 мл. Для первого раза настоять 10 секунд, после чего пить проливом с постепенным увеличением экспозиции. Выдерживает 9 заварок. Превосходный молодой шэн пуэр с насыщенным, мягким вкусом и мощным медитативным воздействием. При правильном хранении с годами обещает быть только лучше (если избежит участи быть выпитым немедленно).",3,6,,,,60,40,80,,,,,60,,,,,,80,,,,,,,,,,,,,,,,,,,,,
Тай Гуйфэй улун,ulun,96,2140,"В сухом виде: большие, тяжелые, красно-коричневые шарики скрученных чайных побегов. Аромат интенсивный, цветочно-ягодный. Настой прозрачный, янтарно-желтого оттенка. Букет готового чая яркий, цветочно-ягодный с нотками меда, пряных трав и сухофруктов. Аромат интенсивный, свежий, цветочно-ягодный. Вкус плотный, сочный и сладкий, шелковистый, с легкой кислинкой, нюансами специй и освежающим послевкусием. Заваривать горячей водой (92-95°С) в фарфоровой гайвани или чайнике из пористой глины. Пропорция заварки к воде: 6 г на 100 мл. Для первого раза настоять 20 секунд, после чего пить проливом с постепенным увеличением экспозиции. Выдерживает 9 завариваний.",10,6,,60,,100,,60,,,,100,,60,,,,,,,,,,,,,,,,,,,,,,,,,,
Янь Лун Чэнь Янь Ча,ulun,86,2300,"«Выдержанный Утёсный» от фермера по имени Янь Лун (Дракон Утесов), настоящий «Янь Ча», выросший на ограниченной территории в природном заповеднике Уишань. В процессе выделки чайный лист прошел многократную скрутку, глубокую ферментацию и длительный прогрев (огонь высокий, но не избыточный). В сухом виде – крупные, изогнутые жгутики темно-коричневых листиков. Аромат интенсивный, хлебно-пряный. Настой прозрачный, оттенка лугового меда. Букет готового чая яркий, теплый, хлебно-пряный, с древесной ноткой. Аромат глубокий и теплый, слегка копченый. Вкус сочный, объемный, шелковистый, сладковатый, с легкой кислинкой и нюансами специй. Послевкусие освежающее и устойчивое. Заваривать горячей водой (95°С) в чайнике из пористой глины или в фарфоровой гайвани. Пропорция заварки к воде: 4-5 г на 100 мл. Пить проливом с постепенным увеличением экспозиции. Выдерживает 6-7 завариваний. Прекрасный церемониальный улун – огненный, яркий и мягкий. Воздействие согревающее, умеренно расслабляющее, очень гармоничное.",2,5,,,,,,60,,,40,,,,,,,,,80,,,,,40,,,,,,,,,,,,,,,
Пиннань Бай Шуй Лань Хун Ча,red,0,7980,"В сухом виде: среднего размера, темно-коричневые листики и почки. Аромат сдержанный, древесно-ягодный. Настой прозрачный, янтарного оттенка. Букет готового чая яркий, многогранный, фруктово-древесный, с медовыми, ягодными и пряными нотками. Аромат нежный, фруктово-древесный. Вкус плотный, гладкий и сладкий, с ягодной кислинкой, нюансами специй и долгим послевкусием. Заваривать горячей водой (95°С) в чайнике из пористой глины с толстыми стенками или в керамической гайвани. Пропорция заварки к воде: 6 г на 100 мл. Для первого раза настоять 15 секунд, далее, начиная с экспозиции в 10 секунд и доведя время выдержки до 3 минут, можно заварить 8 раз. Превосходный красный чай для гурманов и искушенных любителей.",10,6,,60,,,,,60,,80,80,,80,,,,,,,,,,,,,,,,,,,,,,,,,,
