language,glottocode,latitude,longitude,value
Wu Chinese,wuch1236,29.8621,119.682,absent
Irabu-Jima,irab1238,24.831088,125.18956,absent
Sabanê,saba1268,-12.9857,-60.335,absent
Heiltsuk-Oowekyala,heil1246,51.7045,-127.221,absent
Ritarungo,rita1239,-13.4559,135.259,absent
Jaqaru,jaqa1244,-12.741939,-75.809231,absent
Kim,kimm1246,9.79442,15.8936,absent
Wathawurrung,wath1238,-37.68777565,144.1013148,absent
Papar,papa1268,5.57378,115.58,absent
Gilbertese,gilb1244,0.179,173.64,absent
Lamaholot,lama1277,-8.36439,122.803,absent
Baraamu,bara1357,28.3768,85.0584,absent
Western Panjabi,west2386,30.0948,75.3474,absent
Tboli,tbol1240,6.20377,124.538,absent
Kasaba,nort2701,12.70645,79.95209,absent
Marik,mari1428,-5.349,145.59,absent
Forest Enets,fore1265,69.9829,88.2121,absent
Wolyamidi,woly1239,-15.557223,126.22155,absent
Bodo-Mech,bodo1269,26.1,92,absent
Mambai,mamb1294,9.6121,14.0013,absent
Bongo,bong1285,7.4145,27.9918,absent
Lao,laoo1244,19,102.46,absent
Achumawi,achu1247,41.0979,-121.191,absent
Lala,lala1268,-8.93195,146.749,absent
Western Muya,west2417,29.444,101.418,absent
Suena,suen1241,-7.76339,147.534,absent
Kuikúro-Kalapálo,kuik1246,-12.3035,-53.2261,absent
To'abaita,toab1237,-8.39233,160.619,absent
Äiwoo,ayiw1239,-10.282595,166.328715,absent
Kafa,kafa1242,7.34022,36.1718,absent
Yidiñ,yidi1250,-17.1332,145.876,absent
Eastern Mnong,east2333,12.3939,108.354,absent
Basay,basa1287,25.0046,121.857,absent
Bats,bats1242,42.1806,45.344,absent
Kilen,kile1243,47.585,132.48,absent
Shidong Biao,biao1253,23.656,113.391,absent
Yine,yine1238,-11.1086,-73.3087,absent
Lezgian,lezg1247,41.5157,47.8951,absent
Cholón,chol1284,-9.23129,-75.9621,absent
Litoka,lito1235,2.69,19.24,absent
Korean,kore1280,37.5,128,absent
Pengo,peng1244,19.3435,83.6552,absent
Kilivila,kili1267,-8.72574,151.072,absent
Nuer,nuer1246,8.13911,32.3829,absent
Mak (China),makc1235,25.5946,107.726,absent
Eastern Bolivian Guaraní,east2555,-20.42,-63.37,absent
Kombai,komb1274,-5.54543,139.902,absent
Pawnee,pawn1254,36.2862,-96.8937,absent
Bini,bini1246,6.40701,5.70426,absent
Nakanai,naka1262,-5.59931,150.888,absent
Cabécar,cabe1245,9.67031,-83.4102,absent
Kara (Papua New Guinea),kara1486,-2.81957,151.111,absent
Maru,maru1249,24.942535,99.8338,absent
Pohnpeian,pohn1238,6.87212,158.223,absent
East Ambae,east2443,-15.3523,167.89,absent
Manam,mana1295,-4.07921,145.033,absent
Ao Naga,aona1235,26.3241,94.3824,absent
Kháng,khan1274,21.6624,103.736,absent
Southern Jinghpaw,kach1280,25.4634,97.3278,absent
Waorani,waor1240,-1.12312,-76.683,absent
Ida'an,idaa1241,5.29059,118.515,absent
Lule,lule1238,-25.221839,-61.887818,absent
San Baltazar Loxicha Zapotec,sanb1241,16.0409,-96.762,absent
Thakali,thak1245,28.7014,83.6466,absent
Western Tlacolula Valley Zapotec,sanj1284,17.0332,-96.5967,absent
Gaagudju,gaga1251,-12.5176,132.643,absent
Hunzib,hunz1247,42.0808,46.1369,absent
Aisi,musa1266,-5.37407,145.197,absent
Tsonga,tson1249,-23.5754,31.8105,absent
Huallaga Huánuco Quechua,hual1241,-9.57135,-75.594,absent
Kado,kado1242,21.5259,100.092,absent
Minigir,mini1251,-4.31803,152.005,absent
Cirebon Javanese,cire1240,-6.74533,108.538,absent
Nyali,nyal1250,1.92098,30.0201,absent
Qimant,qima1242,12.8119,37.0542,absent
Borana-Arsi-Guji Oromo,bora1271,1.05676,37.882,absent
Southern Ghale,sout2715,28.106,84.8511,absent
Indian Kurux,kuru1302,24.4644,86.4657,absent
Tegali,tega1236,11.9523,31.1112,absent
Fore,fore1270,-6.64473,145.5065,absent
Amam,amam1246,-7.9,146.92,absent
Ama (Papua New Guinea),amap1240,-4.20192,141.658,absent
Atampaya,atam1239,-11.0018,142.273,absent
Chothe,chot1239,24.3722,94.2408,absent
Central Cagayan Agta,cent2084,17.9571,121.857,absent
Kanamarí do Juruá-Japurá-Xeruã-Itaquaí-Jutaí,cuti1242,-6.45399,-68.7678,absent
Siksika,siks1238,49.0669,-113.109,absent
Yaka-Pelende-Lonzo,yaka1269,-5.984,16.775,absent
Tetun Dili,tetu1246,-8.58405,125.583,absent
Shasta,shas1239,41.7587,-122.738,absent
Jehai,jeha1242,5.63695,101.541,absent
Kwoma,kwom1262,-4.08721,142.664,absent
Hertevin,hert1241,37.373,42.5192,absent
Thangmi,than1259,28.7554,85.7657,absent
Chong of Chanthaburi,chon1284,12.5218,102.514,absent
Patep,pate1247,-6.91988,146.639,absent
Zaiwa,zaiw1241,24.1726,98.3643,absent
Ngombe (Democratic Republic of Congo),ngom1268,1.45357,20.14148,absent
Kabyle,kaby1243,36.4103,4.76137,absent
Awetí,awet1244,-12.381944,-53.391944,absent
Ngiti,ngit1239,1.30455,30.2242,absent
Bamwe,bamw1238,2.16773,19.1644,absent
Meru,meru1245,0.26484,37.7396,absent
Kwegu,kweg1241,5.40416,36.1702,absent
Shoshoni,shos1248,41,-116,absent
Kayardild,kaya1319,-17.0695,139.489,absent
Wayana,waya1269,2.77537,-54.4429,absent
Jalkunan,jalk1242,10.5426,-5.21959,absent
Witsuwit'en-Babine,babi1235,55.0997,-126.41,absent
Culina,culi1244,-8.55268,-70.6648,absent
Mori Bawah,mori1268,-2.56016,121.37,absent
Byangsi,byan1241,29.92002,80.63653,absent
Vurës,vure1239,-13.905677,167.451412,absent
Alabama,alab1237,30.76738,-94.62848,absent
Konyak Naga,kony1248,26.6823,95.0598,absent
Tharaka,thar1283,-0.13221,38.073,absent
Waiwai,waiw1244,1.50881,-59.1417,absent
Tver,tver1240,65.1691,30.8655,absent
Siroi,siro1249,-5.52893,145.994,absent
Winjarumi,winj1235,-15.355178,124.539184,absent
Wanohe,saka1289,-15.0757,167.051,absent
Nyankole,nyan1307,-0.46364,30.548,absent
Ulwa (Papua New Guinea),yaul1241,-4.39912,143.993,absent
Taibei Hokkien,taib1242,25.0853403,121.4231642,absent
Bankon,bank1256,4.3702,9.6403,absent
Maisin,mais1250,-9.22853,148.731,absent
Kalaallisut,kala1399,69.3761,-52.864,absent
Nara,nara1262,15.3251,37.499,absent
Bokar-Ramo,boka1249,28.61433,94.066429,absent
Kuanyama,kuan1247,-17.7176,16.58,absent
Amarakaeri,amar1274,-12.4931,-70.5533,absent
Wuvulu-Aua,wuvu1239,-1.73938,142.851,absent
Akkadian,akka1240,33.1,44.1,absent
Ndamba,ndam1239,-8.40485,36.0271,absent
Tataltepec Chatino,tata1258,16.2963,-97.5311,absent
Yawuru,yawu1244,-18.004,122.693,absent
Washo,wash1253,38.8184,-119.64,absent
Orokolo,orok1267,-7.81309,145.34,absent
Western Keres,west2632,34.9733,-107.517,absent
Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,tari1263,34.916974,-3.430616,absent
Gangte,gang1266,24.5113,94.1681,absent
Ninde,labo1244,-16.4291,167.442,absent
Jarai,jara1266,13.6161,107.813,absent
Margany,marg1253,-26.789,144.892,absent
Siawi,siaw1243,-4.05312,141.42,absent
Ubir,ubir1237,-9.59044,149.396,absent
Bilinarra,bili1250,-16.868771,130.533991,absent
Southern Sierra Miwok,sout2985,38.2363,-120.507,absent
Bhojpuri,bhoj1244,26.458455,84.817115,absent
Hatam,hata1243,-1.13531,134.037,absent
Kedang,keda1252,-8.23039,123.77,absent
Cheyenne,chey1247,45.5321,-106.659,absent
Panobo,pano1255,-7.16666,-75,absent
Avokaya,avok1242,4.38639,29.9379,absent
Lou,louu1245,-2.38659,147.346,absent
Umiida-Unggarangu,umii1235,-16.559333,124.5,absent
Yalarnnga,yala1262,-21.731,139.511,absent
Lewotobi,lewo1244,-8.54573,122.747,absent
Yaminahua,yami1256,-9.8846,-71.5964,absent
Kaike,kaik1246,28.853,83.1384,absent
Isnag,isna1241,18.2139,121.16,absent
Jennu Kurumba,jenn1240,11.5041,76.5767,absent
Kambaata,kamb1316,7.37582,37.9088,absent
Lango (Uganda),lang1324,2.13867,33.0553,absent
Mawng,maun1240,-11.66,133.376,absent
Sauria Paharia,saur1249,24.8124,87.6432,absent
Mikasuki,mika1239,26.08142,-80.90847,absent
Wurla,wurl1240,-16.15,127.52,absent
Tawra,diga1241,28.4993,96.8803,absent
Western Subanon,west2557,7.79964,122.341,absent
Lovono,vano1237,-11.6107,166.7984,absent
East Taa,huaa1248,-24.20022,20.79583,absent
Prasun,pras1239,35.420531,70.922783,absent
Machiguenga,mach1267,-12.1291,-72.5017,absent
Soli,soli1239,-15.5213,28.7934,absent
Crimean Tatar,crim1257,45,34.08,absent
Hanga Hundi,hang1263,-3.90364,142.849,absent
Waima,waim1251,-8.67145,146.544,absent
Iyo,iyoo1238,-5.84161,146.092,absent
Korafe-Yegha,kora1294,-9.07,149.267,absent
Highland Popoluca,high1276,18.198,-94.9109,absent
Koti,koti1238,-16.4823,39.7602,absent
Eastern Cham,east2563,11.2853,108.49,absent
Oki-No-Erabu,okin1246,27.3738,128.619,absent
Cavineña,cavi1250,-13.3544,-66.6277,absent
Lardil,lard1243,-16.56152,139.4343,absent
Whitesands,whit1269,-19.5019,169.381,absent
Mbugwe,mbug1242,-3.75763,35.8133,absent
Momu-Fas,fass1245,-3.10868,141.64,absent
Sapuan,sapu1248,15.3692,106.843,absent
Mongo,mong1338,-1.54228,20.4259,absent
Nabak,naba1256,-6.42709,146.966,absent
Karnai,karn1252,-5.74133,147.917,absent
Fur,furr1244,12.0455,23.6401,absent
Gunya,guny1241,-27.0642,145.862,absent
Makwe,makw1236,-10.4673,40.0274,absent
Haruai,haru1245,-5.09522,144.3375,absent
Chashan,chas1234,26.1,98.75,absent
Yindjibarndi,yind1247,-21.5379,117.001,absent
Khmu,khmu1256,20.2463,101.671,absent
Mara Chin,mara1382,22.1138,93.0387,absent
Lewo,lewo1242,-16.7612,168.334,absent
Ramoaaina,ramo1244,-4.17306,152.451,absent
Khumi Chin,khum1248,22.87125,92.9894633333,absent
Ket,kett1243,63.7551,87.5466,absent
Kari,kari1306,5.03525,25.7491,absent
Sizang Chin,siyi1240,23.8192,93.6884,absent
Yavitero-Pareni,yavi1244,2.9248440000000002,-67.438886,absent
Cross River Mbembe,cros1244,6.16926,8.23592,absent
Longchuan Achang,acha1249,24.3479,97.7438,absent
Burushaski,buru1296,36.2161,74.8236,absent
Sagalla,saga1262,-3.60164,38.5037,absent
Central Chong,cent2314,12.608611,102.270556,absent
Lonwolwol,lonw1238,-16.2286,168.016,absent
Ternate,tern1247,0.80562,127.333,absent
Huli,huli1244,-5.97212,142.963,absent
Nugunu (Cameroon),nugu1242,4.63103,11.1837,absent
Estonian,esto1258,58.55,25.82,absent
Kagulu,kagu1239,-6.38204,37.0534,absent
Kensiu,kens1248,5.98085,101.026,absent
Southern Selkup,sout3262,58.6626,85.8581,absent
Kaluli,kalu1248,-6.45932,142.788,absent
Ila,ilaa1246,-15.60807,26.45548,absent
Buol,buol1237,0.97727,121.519,absent
Bobongko,bobo1255,-0.36759,121.922,absent
Labu,labu1248,-6.75,146.903,absent
Nimboran,nucl1633,-2.5803,140.179,absent
Lelepa,lele1267,-17.6042,168.202,absent
Kwaio,kwai1243,-8.93744,160.965,absent
Alacatlatzala Mixtec,alac1244,17.25,-98.58,absent
Komi-Zyrian,komi1268,64.0527,54.946,absent
Lijili,liji1238,8.52193,8.35562,absent
Garifuna,gari1256,15.3529,-86.9091,absent
Amahuaca,amah1246,-10.2012,-72.3208,absent
North Junín Quechua,nort2980,-11.2132,-75.8128,absent
Nyigina,nyig1240,-17.9594,124.348,absent
Isthmus-Cosoleacaque Nahuatl,isth1240,17.9401,-94.7347,absent
Angaataha,anga1290,-7.15012,146.352,absent
Baima,baim1244,33.1001,103.952,absent
Elip,elip1238,4.45694,11.193,absent
Bininj Kun-Wok,gunw1252,-12.3398,133.358,absent
Kavalan,kava1241,24.6947,121.645,absent
Sirionó,siri1273,-15.5298,-63.9688,absent
Pite Saami,pite1240,66.4011,17.4261,absent
Mountain Koiali,moun1252,-9.06973,147.384,absent
Kwamera,kwam1252,-19.5954,169.442,absent
Chocangacakha,choc1275,27.46961,91.21954,absent
Khezha Naga,khez1235,25.7078,94.3114,absent
Swahili,swah1253,-8.25605,37.624,absent
Georgian,nucl1302,41.850397,43.78613,absent
Koya,koya1251,17.6772,81.2096,absent
Severn Ojibwa,seve1240,53.9092,-89.9331,absent
Tooro,toor1238,0.57291,30.6389,absent
Madi,jama1261,-7.62223,-66.5662,absent
Meramera,mera1242,-4.97468,151.528,absent
Northern Yukian,yuki1243,39.8389,-123.296,absent
Ma Manda,sauk1252,-6.31958,146.759,absent
Ngäbere,ngab1239,8.8251,-82.3911,absent
Duruwa,duru1236,19.0534,82.4881,absent
