name,address,longitude,latitude,description,subordination,creation_time,modification_time,mo_from,mo_to,tu_from,tu_to,we_from,we_to,th_from,th_to,fr_from,fr_to,sa_from,sa_to,su_from,su_to,dedication
Центральная детская библиотека № 226 (подразделение № 1) г. Москвы,"г Москва,г Москва,б-р Яна Райниса,д 2",37.434514,55.85105,"Бывшая детская библиотека № 128 была открыта в 1972 в Тушинском районе Москвы. Находилась на первом этаже жилого дома на бульваре Яна Райниса (д. 2, корп. 1). В дальнейшем ее перевели в другое помещение, но в этом же здании. Хотя библиотеке была выделена площадь, значительно уступающая в размерах предыдущей, но от этого она не стала менее гостеприимной для своих читателей. В 1976 году детская библиотека № 128 вошла в состав ЦБС Тушинского района г. Москвы. 31 июля библиотека вошла в структуру ГБУК г. Москвы «ЦБС СЗАО» как библиотека № 128, 17 сентября 2014 на правах подразделения № 1 – в комплекс Центральной детской библиотеки № 226 ГБУК г. Москвы «ЦБС СЗАО».Здесь можно взять книги и журналы на дом, поработать с книгой в читальном зале, получить справочно-библиографическую информацию, подобрать нужные сведения по интересующим вопросам, воспользоваться помощью квалифицированных сотрудников, получить методическую помощь для подготовки и проведения мероприятия, воспользоваться рекомендательными списками литературы.",Москва,2015-07-23T22:18:10Z,2023-02-17T14:48:16Z,NA,NA,43200,75600,43200,75600,43200,75600,43200,75600,43200,75600,43200,72000,NA
"Библиотека № 171 на ул. Вильнюсская, 17","г Москва,г Москва,ул Вильнюсская,д 17",37.518623,55.596925,"Филиал на Вильнюсской улице – гостеприимное уютное библиотечное пространство с современным дизайном для интеллектуального семейного досуга. Библиотека была открыта в 2013 году. За десять лет работы библиотека привлекла к себе множество посетителей. Сегодня ежедневно тут берут книги и участвуют в мероприятиях около 110 человек ежедневно. Читателям предлагается широкий выбор художественной литературы от классики до современности, специализированные, научно-популярные и периодические издания. Проводятся мероприятия для всех возрастных групп: тематические вечера, книжно-иллюстративные и художественные выставки, а также мастер-классы, интерактивные программы и многие другие мероприятия. Библиотека приглашает детей и взрослых на занятия по обучению живописи в изостудии «Кроха».",Москва,2015-07-27T08:41:32Z,2023-02-28T09:14:15Z,NA,NA,43200,79200,43200,79200,43200,79200,43200,79200,43200,79200,43200,72000,NA
Библиотека искусств им. А. П. Боголюбова (основное здание),"г Москва,г Москва,ул Сущёвская,д 14",37.602445,55.781367,"Старейшая библиотека города, расположена в усадьбе Боголюбова-Третьякова на Сущевской улице в доме № 14, стр. 2. Год создания – 1919. Это комплекс оснащенных современным электронным оборудованием специализированных залов, мест хранения и помещений для проведения культурных программ, отдыха и общения. Единственная в России библиотека, которая приобретает нотные издания из-за рубежа, востребованные студентами консерватории и другими музыкальными учреждениями. Информационные ресурсы библиотеки включают специализированные по своему содержанию фонды, насчитывающие около 160 тыс. единиц хранения. Это литература и электронные носители (CD, DVD) по истории и теории музыки, детская музыкальная литература, современные и редкие нотные издания XIX – начала XX века, богатая коллекция уникальных грампластинок, многочисленные издания по изобразительному искусству, частные коллекции. За год библиотека принимает 150 тыс. посетителей.",Москва,2015-07-26T22:31:28Z,2023-02-17T14:44:25Z,NA,NA,36000,79200,36000,79200,36000,79200,36000,79200,36000,79200,36000,72000,им. А. П. Боголюбова
Библиотека № 172 (ст. м. Новаторская),"г Москва,г Москва,ул Новаторов,д 14",37.523204,55.667584,"Библиотека расположена в двух соседних корпусах и состоит из детского и взрослого отделов. Оба отдела обладают уникальным книжным фондом, организуют культурные программы для жителей Обручевского района, проводят лекции, концерты, игры, экскурсии. Детский отдел библиотеки – это удобное, комфортное для посещения место досуга и образования для всей семьи. Для детей младшего возраста здесь организована игротека. Много внимания библиотека уделяет людям с ограниченными возможностями и социально незащищенным слоям населения. Сотрудниками библиотеки проводятся выездные мероприятия в школах, гимназиях, ЦСО и других организациях.",Москва,2015-07-27T08:51:09Z,2023-02-21T06:34:09Z,NA,NA,43200,79200,43200,79200,43200,79200,43200,79200,43200,79200,43200,72000,NA
Детская библиотека № 43 – Культурный центр В. Ю. Драгунского,"г Москва,г Москва,ул Куусинена,д 17",37.511751,55.785655,"Библиотека была создана в 1957 году, работала как Центральная детская библиотека Хорошевского района. В ноябре 2012 года получила имя писателя В. Ю. Драгунского. В 2014 году, в процессе реорганизации, была объединена с юношеской библиотекой и получила название Детская библиотека № 43 – Культурный центр им. В. Ю. Драгунского.Основным направлением деятельности библиотеки является мемориально-выставочная работа: хранение, сбор и пропаганда творческого наследия В. Ю. Драгунского. Для детей организован лекторий «Дениска Кораблев – друг детства». В библиотеке есть постоянная выставочная экспозиция, составленная из личных вещей писателя, переданных в дар библиотеке его детьми Ксенией Викторовной и Денисом Викторовичем Драгунскими, по которой регулярно проводятся интерактивные экскурсии «О Викторе Драгунском – сегодня и ежедневно» для детей.Библиотекой реализуется программа работы с детьми младшего возраста «Открой книгу детям», в рамках которой проходят интересные встречи, концерты, выставки творческой мастерской «Лики города».Универсальный фонд для детей и взрослых составляет 102 160 единиц хранения. Имеется отдел литературы о жизни и творчестве В. Драгунского, его произведения, собранные на бумажных, электронных и аудиовизуальных носителях.",Москва,2015-07-27T02:27:27Z,2023-02-21T09:15:37Z,NA,NA,43200,75600,43200,75600,43200,75600,43200,75600,43200,75600,43200,72000,NA
Библиотека № 184 г. Москва,"г Москва,г Москва,ул Академика Варги,д 38",37.47951,55.632982,"Универсальный книжный фонд библиотеки – более 40 тысяч томов – отвечает самым разнообразным вкусам. Работает отдел краеведения, создана экспозиция «Культурное и историческое наследие Москвы». В стенах библиотеки постоянно проходят встречи с писателями и поэтами, читательские конференции, музыкальные вечера, просмотры художественных и документальных фильмов. В отделе информационных ресурсов можно получить помощь в учебе (интерактивные учебники, лекции, рефераты), ознакомиться с анонсами культурных мероприятий, принять участие в онлайн-семинарах и лекциях. Постоянно работает группа обучения компьютерной грамотности для пенсионеров и инвалидов.",Москва,2015-07-27T08:39:43Z,2023-02-21T06:44:21Z,NA,NA,43200,79200,43200,79200,43200,79200,43200,79200,43200,79200,43200,72000,NA
Библиотека № 2 имени Ю. В. Трифонова. Отдел экономической информации,"г Москва,г Москва,ул Лесная,д 63",37.594845,55.783119,"Библиотека начала свою работу в 1937 году. В 1970–1980-е годы читальня работала как передвижной фонд. В начале 90-х была перепрофилирована в библиотеку экономической литературы. Свое нынешнее наименование библиотека получила в связи начавшимся процессом оптимизации сети библиотек, подведомственных Департаменту культуры города Москвы.Библиотека обладает специализированным фондом литературы по экономике, финансам, праву и бизнесу. Большей частью читательской аудитории являются студенты и молодежь, так как работа учреждения направлена на интегрирование ее в экономическое и бизнес-сообщество, а также в молодежную среду.В рамках проекта «Библиотека нескучных событий» на базе читальни созданы условия для работы экономических, молодежных объединений, профессиональных бизнес-объединений, клубов по интересам, любителей истории, молодых литераторов. В библиотеке проходят циклы мероприятий «О нашей истории», «О современной литературе», встречи студентов вузов психологических факультетов, циклы лекций по профориентации «Экскурсии по урбанистике». В теплое время года для всех желающих сотрудники проводят экскурсию «Москва театральная». Фонд включает более 10 000 единиц хранения.",Москва,2015-07-26T21:18:47Z,2023-02-20T11:51:25Z,36000,64800,32400,79200,32400,79200,32400,79200,32400,79200,43200,79200,43200,72000,им. Ю. В. Трифонова
Библиотека № 90 им. А. С. Неверова г. Москвы,"г Москва,г Москва,ул Вешняковская,д 24Б",37.817564,55.720307,"Библиотека была организована в 1931 году. Фонд сектора – 38 055 экземпляров книг, брошюр и журналов. Обслуживает свыше 5 000 читателей. Посещаемость – свыше 60 000 человек.Структура библиотеки: отделение для детей дошкольного и младшего школьного возраста 1–4 классов, абонемент для читателей среднего школьного возраста 5–6 классов и старшего школьного возраста 7–9 классов, читальный зал, компьютерный зал.В библиотеке есть возможность обслуживать читателей с ограниченными возможностями жизнедеятельности: с нарушением зрения, с нарушением слуха, с нарушением опорно-двигательного аппарата. Работают платные кружки:Кружок «Клуб английского языка», возраст участников – 5–12 лет.Кружок лепки и рисования «Этюд», возраст участников – 5–15 лет. Кружок по рисованию песком «Сыпучие картинки», возраст участников – 5–15 лет. Кружок по шахматам «Дебют», возраст участников – 6–14 лет. На территории библиотеки № 90 им. А. С. Неверова в рамках образовательно-просветительского проекта «Точка сбора общественных инициатив» работает клуб молодых инвалидов «Вдохновение». Мероприятия проводятся на средства субсидии из бюджета города Москвы, полученной по итогам проводимого Комитетом общественных связей Конкурса для социально-ориентированных некоммерческих организаций.",Москва,2015-07-22T20:33:13Z,2023-02-20T13:27:16Z,NA,NA,43200,75600,43200,75600,43200,75600,43200,75600,43200,75600,43200,72000,им. А. С. Неверова
Центральная детская библиотека № 46 им. И. З. Сурикова (филиал № 2),"г Москва,г Москва,ул Новопетровская,д 16А",37.523267,55.826463,"Библиотека начала свою работу в 1949 году как детская библиотека, дважды меняла свое местоположение. В 1969 году переехала в специально построенное для нее помещение, в котором располагается по сей день. В настоящее время входит в состав Центральной детской библиотеки № 46 им. И. З. Сурикова. Универсальный детский фонд насчитывает 49 500 единиц хранения. В библиотеке оборудована дизайнерская игровая зона для малышей. Регулярно проходят театрализованные программы для детей от 4 до 12 лет. Большое внимание в библиотеке уделяется развитию детского творчества.Библиотека принадлежит ГБУК г. Москвы «ОКЦ САО».",Москва,2015-07-27T03:05:17Z,2023-02-21T08:32:42Z,NA,NA,39600,70200,39600,70200,39600,70200,39600,70200,39600,70200,NA,NA,им. И. З. Сурикова
Центральная библиотека № 190 г. Москва,"г Москва,г Москва,ул Профсоюзная,д 115",37.519629,55.630101,"Библиотека основана в 1969 году и расположена в центре Юго-Западного округа, рядом со станцией метро «Коньково». В абонементе выдается на дом литература на русском и иностранных языках. Редкие и ценные издания могут быть выданы в режиме ""читального зала"".В отделе детской литературы и творческого развития собраны книги по школьной программе, классика и лучшие образцы современной детской литературы.В компьютерном зале – широкий перечень сервисных услуг, доступ к информационно-правовой системе ""Консультант+"", Национальной электронной библиотеке и базе данных периодических изданий ""East View"".Совокупный фонд библиотеки насчитывает 63 221 единиц хранения.В 2022 году библиотеку посетили 63 605 человека. В библиотеке располагается администрация ОКЦ ЮЗАО.",Москва,2016-04-08T06:44:40Z,2023-10-06T14:21:08Z,NA,NA,43200,79200,43200,79200,43200,79200,43200,79200,43200,79200,43200,72000,NA
