creators,title,description,geoContext,minDate,maxDate,latitude,longitude
S. Loseby,Vallis Clara,"An ancient place, cited: BAtlas 15 D1 Vallis Clara",Pont-St-Esprit,-30,640,44.256597,4.647629
sarcanon,Cricklade,Modern day site of a Romano-British settlement in Wiltshire dating from first to fourth centuries A.D.,NA,-30,640,51.643231,-1.856799
"J.P. Brown, E.M. Meyers",Dabbura,"An ancient place, cited: BAtlas 69 C3 Dabbura","Dabbura, SYR",300,640,33.048985,35.66516
"J.P. Brown, E.M. Meyers",Rama,"An ancient place, cited: BAtlas 69 B4 Rama","Rama, ISR",-30,640,32.934001,35.366497
"C. Foss, S. Mitchell",Nisa,"An ancient place, cited: BAtlas 65 C5 Nisa",Akörü Yayla,-330,640,36.4418965,29.6296235
"C. Foss, S. Mitchell",Phellos,A Lycian settlement located near modern Çukurbağ.,Çukurbağ,-550,1999,36.242821,29.662237
"E.M. Meyers, J.P. Brown",Dionysias/*Soada,"An ancient place, cited: BAtlas 69 E4 Dionysias/*Soada",Suweda SYR,-30,640,32.707083,36.5652865
"David Braund, T. Sinclair",Bathys Limen/Portus Altus,"An ancient place, cited: BAtlas 87 G3 Bathys Limen/Portus Altus",Batumi GEO,-750,640,41.643326,41.661384
R.B. Hitchner,Siagu,"An ancient settlement in the Roman province of Africa Proconsularis. It was located at a site known today as Ksar el-Zit, which is in the vicinity of Bir Bou Rekba to the northwest of Hammamet, Tunisia.",Ksar-ez-Zit,-330,2099,36.43399,10.5909
David Braund,Nymphaion,"An ancient place, cited: BAtlas 87 K2 Nymphaion",Geroyevka UKR,-550,640,45.236481,36.417274
"A. Hausleiter, E.J. Keall, M. Roaf",Denabaran/Dinawar,"An ancient place, cited: BAtlas 92 C2 Denabaran/Dinawar",Dinavar?,-330,640,34.584336,47.439729
A. Bernand,Athribis (Lower Egypt),An ancient city of Lower Egypt located at present-day Tell Atrib to the northeast of Benha on the hill of Kom Sidi Yusuf.,Tell Atrib,-2010,2000,30.4707015,31.18425
"H.S. Sivan, S.J. Keay, R.W. Mathisen",Belsinon/*Balsio,"An ancient place, cited: BAtlas 25 D4 Belsinon/*Balsio",Cerro del Convento (Mallén),-30,640,41.900517,-1.418493
R.B. Hitchner,Thigibba Bure,"An ancient place, cited: BAtlas 32 D4 Thigibba Bure",Djebba,-330,640,36.475683,9.081467
S. Mitchell,Zeila,"An ancient place, cited: BAtlas 63 F4 Zeila","Özlüce, formerly Zile",-330,640,38.4594495,34.617916
"C. Foss, S. Mitchell",Keretapa?/Diokaisareia?,"An ancient place, cited: BAtlas 65 C2 Keretapa?/Diokaisareia?",Kayadibi,-30,640,37.493664,29.926031
"C. Foss, S. Mitchell",Cibyra,"An ancient Greek city, largely rebuilt in the early Roman empire after a major earthquake. Kibyra is located near the modern town of Göhlisar (formerly Horzum) in Turkey's Burdur province.",Horzum,-330,2099,37.15943905,29.49215475
"Jr., F.H. Stanley, R.C. Knapp",Urso/Col. Genetiva Iulia,"At the modern town of Osuna in Spain's Seville province, archaeological investigation has revealed an extensive Roman-era settlement. In 2022, an earlier ""Phoenician"" necropolis was discovered.",Osuna,-330,2100,37.246621,-5.099275
jbecker,Noddule nuragic complex,A multi-period settlement site with occupation stretching from ca. 4000 B.C. to the fourth century A.D.,NA,-3000,2100,40.3873758299,9.28493975147
"S.J. Keay, R.W. Mathisen, H.S. Sivan",Antequia,"An ancient place, cited: BAtlas 25 B3 Antequia",Pancorbo?,-30,640,42.635243,-3.110597
"A. Hausleiter, M. Roaf, E.J. Keall",Aspadana/(I)Spahan/Gay/Gabai?,"An ancient place, cited: BAtlas 92 G4 Aspadana/(I)Spahan/Gay/Gabai?",Isfahan Shahristan district,-1200,2100,32.651067,51.678813
J.J. Wilkes,Bassiana,"An ancient place, cited: BAtlas 21 B5 Bassiana",Donji Petrovci YUG,-30,640,44.9696585,19.977001
R.B. Hitchner,*Cincaris,"An ancient place, cited: BAtlas 32 E3 *Cincaris",Henchir-Sinngaris,-330,640,36.777983,9.7566885
"J. Fossey, J. Morin",Okaleia?,"An ancient place, cited: BAtlas 55 E4 Okaleia?",Evangelistria,-550,640,38.350544,23.048099
B. Isaac,Ephraim/Apheraima,"An ancient place, cited: BAtlas 70 G2 Ephraim/Apheraima",et Tayyibe WBK,-330,640,31.954665,35.299196
G.D. Woolf,Acaunum,"An ancient place, cited: BAtlas 18 D3 Acaunum",St-Maurice SWI,-30,640,46.218462,7.0039815
A.S. Esmonde Cleary,Korinion/Cironium,Korinion/Cironium (also referred to as Corinium Dobunnorum) was the second largest town of Roman Britain.,Cirencester,-30,2100,51.71138,-1.971806
"M. Šašel Kos, P. Kos",Aenona,"An ancient place, cited: BAtlas 20 C5 Aenona",Nin CRO,-330,640,44.2435845,15.1847195
"T. Sinclair, David Braund",Gyenos/Cygnus,"An ancient place, cited: BAtlas 87 G2 Gyenos/Cygnus",Ochamchira GEO,-750,640,42.75581,41.403117
"S.E. Kroll, M. Roaf, St J. Simpson, T. Sinclair",Tell Sharisi,"An ancient place, cited: BAtlas 89 D4 Tell Sharisi","Tell Sharisi, SYR",-30,640,36.906295,41.359539
"R.W. Mathisen, H.S. Sivan",Dolus,"An ancient place, cited: BAtlas 14 F1 Dolus",Dolus-le-Sec?,300,640,47.18047,0.863485
"J.P. Brown, P.-L. Gatier",Tell Soukas/Pelleta?,"An ancient place, cited: BAtlas 68 A3 Tell Soukas/Pelleta?",Tell Soukas,-750,640,35.298878,35.925913
E.W.B. Fentress,Macomades?,"An ancient place, cited: BAtlas 34 F2 Macomades?",Mrikeb Thala,-30,640,35.8254,7.165181
gmckee,Kom Wasit,"Archaeological site in the province of Beheira in the Western Delta, inhabited from the Roman through the Early Islamic periods. Along with the nearby site Kom el-Ahmer, it has been identified as a possible location of Metelis, the capital of the Metelite Nome.",NA,-30,750,31.1748242483,30.4568103075
E. Bertrand,Vappincum,Vappincum was a pre-Roman settlement captured by the Romans in 14 BC.,Gap,-330,640,44.559876,6.075897
"C. Foss, S. Mitchell, G. Reger",Ergasteria,"An ancient place, cited: BAtlas 56 F2 Ergasteria",settlement and mine at Balya Maden,-330,640,39.727645,27.59645
"C. Foss, S. Mitchell",Kibyra Mikra,"An ancient place, cited: BAtlas 65 G4 Kibyra Mikra",Karaburun,-330,640,36.659851,31.659825
B. Isaac,Gerar,"Gerar, located in south-central Israel, is associated with the Philistines and is mentioned in the Book of Genesis.",Tel Haror Tell Abu Hureira,-2000,2100,31.38186,34.60643
S.M. Burstein,Pachoras,"An ancient place, cited: BAtlas 81 B3 Pachoras",Faras Mer.: Pakharas,-330,640,22.204049,31.498587
J.J. Wilkes,Zaton,"An ancient place, cited: BAtlas 21 B7 Zaton","Zaton, YUG",-30,640,43.00495,19.794576
