author,title,n_words,total_words
"Morrison, Arthur","The Red Triangle: Being Some Further Chronicles of Martin Hewitt, Investigator",5241,63497
"Goodwin, Harold L. (Harold Leland)",Rip Foster in Ride the Gray Planet,4648,53285
"Pelcher, Anthony",Astounding Stories of Super-Science April 1930,7861,75565
"Smith, E. E. (Edward Elmer)",The Skylark of Space,7555,87912
"Pater, Walter",Marius the Epicurean — Volume 1,7642,57319
"Hall, Austin",The Blind Spot,8160,110446
"Burnett, Frances Hodgson","His Grace of Osmonde
Being the Portions of That Nobleman's Life Omitted in the Relation of His Lady's Story Presented to the World of Fashion under the Title of A Lady of Quality",7913,109530
"Weyman, Stanley John",From the Memoirs of a Minister of France,6737,74981
"Sacher-Masoch, Leopold, Ritter von",Venus in Furs,5197,43958
"MacDonald, George","St. George and St. Michael, Volume 1",6060,48956
"Dickens, Charles",The Mystery of Edwin Drood,9415,99645
"Freeman, R. Austin (Richard Austin)",The Mystery of 31 New Inn,6807,80889
"Crake, A. D. (Augustine David)","Alfgar the Dane or the Second Chronicle of Aescendune
A Tale of the Days of Edmund Ironside",7441,77218
"Evans, E. Everett (Edward Everett)",Man of Many Minds,6536,69574
"Pangborn, Edgar",West Of The Sun,7716,73547
"Rockwell, Carey",Sabotage in Space,4770,47718
"Piper, H. Beam",A Slave is a Slave,3631,21907
Vatsyayana,"The Kama Sutra of Vatsyayana
Translated From the Sanscrit in Seven Parts With Preface, Introduction and Concluding Remarks",5454,61032
"Shelley, Mary Wollstonecraft","Frankenstein; Or, The Modern Prometheus",6810,73828
"Gilmore, Anthony",The Affair of the Brains,4115,25199
"Donovan, Francis",The Short Life,4046,21208
"Church, Alfred John","The Count of the Saxon Shore; or The Villa in Vectis.
A Tale of the Departure of the Romans from Britain",7058,72788
"Leighton, Robert",Olaf the Glorious: A Story of the Viking Age,6365,90735
"Lynch, Lawrence L.",The Last Stroke: A Detective Story,6374,72352
"Wollheim, Donald A.",The Secret of the Ninth Planet,5783,48653
"Jefferies, Richard","After London; Or, Wild England",7745,85683
"Nesbit, E. (Edith)",The Enchanted Castle,5930,71272
"Gale, Floyd C.",Someone to Watch Over Me,3140,22401
"Higgins, Charlotte M.","The Angel Children
or, Stories from Cloud-Land",3437,29400
"Altsheler, Joseph A. (Joseph Alexander)",The Forest of Swords: A Story of Paris and the Marne,6086,85293
"Franklin, Jay",The Rat Race,7664,83576
"Christie, Agatha",Poirot Investigates,6054,55281
"Leroux, Gaston",The Phantom of the Opera,6641,88100
"Dunn, Jonathan",The Revolutions of Time,5563,47048
"Aguilar, Grace",The Days of Bruce: A Story from Scottish History. Vol. 1,9566,148475
"Allen, Grant",An African Millionaire: Episodes in the Life of the Illustrious Colonel Clay,7487,67919
"Putnam, Ruth","The Count of the Saxon Shore; or The Villa in Vectis.
A Tale of the Departure of the Romans from Britain",7058,72788
"Chesterton, G. K. (Gilbert Keith)",The Wisdom of Father Brown,7890,73696
"Stoddard, William O.",Dab Kinzer: A Story of a Growing Boy,5359,70946
"Delany, Samuel R.",The Jewels of Aptor,5082,54107
"Tytler, Sarah","Girlhood and Womanhood
The Story of some Fortunes and Misfortunes",11424,101289
"Ashwell, Pauline",The Lost Kafoozalum,3516,23299
"Munro, John",A Trip to Venus: A Novel,6754,52138
"Ballantyne, R. M. (Robert Michael)",Martin Rattler,7003,62860
"McCann, Edson",Preferred Risk,6437,61062
"Wood, Robert Williams",The Man Who Rocked the Earth,6640,44159
"Stoker, Bram",The Lair of the White Worm,5680,57066
"Harrison, Harry",Planet of the Damned,6193,57569
"Balzac, Honoré de",The Chouans,8757,112413
"Train, Arthur Cheney",The Man Who Rocked the Earth,6640,44159
"Gold, H. L. (Horace Leonard)",Someone to Watch Over Me,3140,22401
"Bova, Ben",The Dueling Machine,3899,22437
"Starzl, Roman Frederick",The Martian Cabal,5074,29236
"Jókai, Mór",Halil the Pedlar: A Tale of Old Stambul,7172,63511
"Barr, Robert",The Face and the Mask,6829,73501
"Blanchard, Amy Ella",Little Maid Marian,3690,39043
"Barr, Amelia E.",The Maid of Maiden Lane,6784,83139
"Hale, Edward Everett","The Man Without a Country, and Other Tales",8261,79356
"Perrin, Alice",Star of India,8431,79805
"Brontë, Emily",Wuthering Heights,9493,119207
