author,title,total_words,n_hapax_legomenon
"Sutton, Jeff",First on the Moon,58769,2973
"Nowlan, Philip Francis",The Airlords of Han,31195,2398
Vatsyayana,"The Kama Sutra of Vatsyayana
Translated From the Sanscrit in Seven Parts With Preface, Introduction and Concluding Remarks",61032,2489
"Douglass, Ellsworth","Pharaoh's Broker
Being the Very Remarkable Experiences in Another World of Isidor Werner",72787,3162
"Flint, Homer Eon",The Lord of Death and the Queen of Life,48940,2765
"Matthews, Brander",Tales of Fantasy and Fact,38648,2536
"Fletcher, J. S. (Joseph Smith)",The Talleyrand Maxim,74737,2338
"Bangs, John Kendrick","R. Holmes & Co.
Being the Remarkable Adventures of Raffles Holmes, Esq., Detective and Amateur Cracksman by Birth",34327,2504
"Reid, Mayne","The Cliff Climbers
A Sequel to ""The Plant Hunters""",77087,3223
"Bova, Ben",The Dueling Machine,22437,2133
"Milne, A. A. (Alan Alexander)",The Red House Mystery,63553,1782
"Sutton, Lee",Venus Boy,41316,1520
"Rockwell, Carey",Sabotage in Space,47718,2207
"Janifer, Laurence M.",Slave Planet,40725,1920
"Harrison, Harry",Planet of the Damned,57569,3055
"Peacock, Thomas Love",Nightmare Abbey,28533,2910
"Brontë, Emily",Wuthering Heights,119207,4149
"Higgins, Charlotte M.","The Angel Children
or, Stories from Cloud-Land",29400,1706
"Christie, Agatha",Poirot Investigates,55281,2939
"Wilde, Oscar",The Picture of Dorian Gray,81366,3309
"Blanchard, Amy Ella",Little Maid Marian,39043,1865
"Ashwell, Pauline",The Lost Kafoozalum,23299,1943
"Jókai, Mór",Halil the Pedlar: A Tale of Old Stambul,63511,3539
"Falkner, John Meade",Moonfleet,84900,2983
"Yonge, Charlotte M. (Charlotte Mary)","Stray Pearls: Memoirs of Margaret De Ribaumont, Viscountess of Bellaise",133497,4010
"Alger, Horatio, Jr.","Young Captain Jack; Or, The Son of a Soldier",51795,1742
"McCann, Edson",Preferred Risk,61062,3236
"Stoddard, William O.",Dab Kinzer: A Story of a Growing Boy,70946,2438
"Gold, H. L. (Horace Leonard)",Someone to Watch Over Me,22401,1727
"Bradley, Marion Zimmer",The Colors of Space,47911,2804
"Ebers, Georg",The Bride of the Nile — Volume 08,23252,2032
"Pangborn, Edgar",West Of The Sun,73547,3711
"Wallace, Edgar",The Clue of the Twisted Candle,60334,3202
"Stratemeyer, Edward","Young Captain Jack; Or, The Son of a Soldier",51795,1742
"Munro, John",A Trip to Venus: A Novel,52138,3425
"Griffith, George Chetwynd",A Honeymoon in Space,66074,2631
"Bennett, John",Master Skylark: A Story of Shakspere's Time,76603,3367
"Dunn, Jonathan",The Revolutions of Time,47048,2763
"Shelley, Mary Wollstonecraft","Frankenstein; Or, The Modern Prometheus",73828,2950
"Ellis, Edward Sylvester",The Boy Patriot,26226,2081
"Delany, Samuel R.",The Jewels of Aptor,54107,2428
"Burnett, Frances Hodgson","His Grace of Osmonde
Being the Portions of That Nobleman's Life Omitted in the Relation of His Lady's Story Presented to the World of Fashion under the Title of A Lady of Quality",109530,3579
"Hornung, E. W. (Ernest William)",The Shadow of the Rope,80254,3468
"Sutphen, Van Tassel",The Doomsman,80401,4112
"De Quincey, Thomas",Confessions of an English Opium-Eater,39200,3308
"Morrison, Arthur","The Red Triangle: Being Some Further Chronicles of Martin Hewitt, Investigator",63497,2370
"Meredith, George",Vittoria — Volume 1,24821,2641
"Hall, Austin",The Blind Spot,110446,3640
"Hyne, Charles John Cutcliffe Wright",The Lost Continent,99630,3790
"Pratt, Fletcher",The Onslaught from Rigel,69310,3077
"Altsheler, Joseph A. (Joseph Alexander)",The Forest of Swords: A Story of Paris and the Marne,85293,2544
"Astor, John Jacob",A Journey in Other Worlds: A Romance of the Future,92356,3813
"Hogg, James",The Private Memoirs and Confessions of a Justified Sinner,85235,3737
"Orczy, Emmuska Orczy, Baroness",The Old Man in the Corner,72323,2807
"Pelcher, Anthony",Astounding Stories of Super-Science April 1930,75565,3749
"Leroux, Gaston",The Phantom of the Opera,88100,3003
"Lynch, Lawrence L.",The Last Stroke: A Detective Story,72352,3045
"Weyman, Stanley John",From the Memoirs of a Minister of France,74981,3193
"Stoker, Bram",The Lair of the White Worm,57066,2739
"Lane, Mary E. Bradley","Mizora: A Prophecy
A MSS. Found Among the Private Papers of the Princess Vera Zarovitch",55129,3141
