corpus,content,n_syllables,duration
Khislavichi,поздно вечером хоронили.,9,1.5960000000000036
Khislavichi,"На ферму, в доярки идти что ли?",10,1.6270000000000664
Khislavichi,"не топлено, а немцы там перерыли всё страшно.",15,3.6999999999999886
Khislavichi,делают. Никакого обеда на кладбище не надо.,17,2.7940000000000396
Khislavichi,Холодно в доме.,5,0.8690000000000282
Khislavichi,покрывала.,4,0.9000000000000341
Khislavichi,Сто двадцать рублей.,5,1.0939999999999372
Khislavichi,Ну и хлебушек там продавался.,10,1.830000000000041
Khislavichi,Ну и...,2,0.9780000000000086
Khislavichi,"А потом в конце всех блюд,",7,1.8310000000000173
Khislavichi,Не разрешают.,5,1.1029999999999802
Khislavichi,"Бли= ближних своих, друзей.",7,2.3419999999999845
Khislavichi,"ямка такая,",5,0.7270000000000323
Khislavichi,"Мелом, мелом.",4,1.1210000000000375
Khislavichi,Да.,1,0.375
Khislavichi,"Ну так, лопатой начертили.",9,2.0880000000000223
Khislavichi,"отвлекаюсь, занимаюсь.",8,1.7899999999999991
Khislavichi,"Да, конечно",4,1.1549999999999727
Khislavichi,"Хороший муж, а меня детей не будет, я про это подумала тоже.",22,3.5270000000000437
Khislavichi,А всё равно вот всем хотелось танцевать А мы же тогда  под окном.,20,2.9829999999999472
Khislavichi,"Так натыркивались, какое-то такое.",13,2.007000000000005
Khislavichi,Как бы вот мы встаём.,6,1.3009999999999875
Khislavichi,Это надо честно относиться к любой работе к своей. Где б ты ни работал.,23,4.122000000000071
Khislavichi,Потом может что помочь.,7,1.3220000000000027
Khislavichi,А жить где нам?,4,1.211999999999989
Khislavichi,Школу же не ходили.,7,1.2119999999999962
Khislavichi,"Да, конечно .",4,1.7029999999999743
Khislavichi,Вот.,1,0.4270000000000209
Khislavichi,у них такие кругленькие булдавешечки были.,16,2.4699999999999136
Khislavichi,И под них надо уметь танцевать.,10,1.86200000000008
Khislavichi,"Интересно было, кадриль , полька, левониха, семёновна, страдание.",22,3.835000000000037
Khislavichi,Вот эта самая Корненко покупает у нас.,15,3.0299999999999727
Khislavichi,"Погиб. В озере в этом, [утопнул].",10,3.622
Khislavichi,"То мальчуганы залезут по крыше, трубу перекроют бабульке какой-нибудь.",24,5.564
Khislavichi,в Соине.,3,1.0300000000000011
Khislavichi,Сладкий.,2,0.6620000000000346
Khislavichi,"Ну созывают близких, родственников.",11,2.466000000000008
Khislavichi,многие,3,1.070999999999998
Khislavichi,"Ну что его там какое, я не знаю, не знаю, а я обращаюсь к батюшке, он же должен законы знать",32,4.728000000000009
Khislavichi,Это не.,3,0.7539999999999907
Khislavichi,"Об стол, конечно",5,1.1990000000000125
Khislavichi,"Ну и кум и тогда  разбивает, ого.",12,2.3600000000000136
Khislavichi,Всем-всем я дарила коровки.,9,2.2379999999999427
Khislavichi,"И вот уже и забыла, докуда она  должна торчать .",17,3.174999999999997
Khislavichi,"Нет, это когда , вот помню,",8,2.25
Khislavichi,они самые сильные в Коляды.,11,1.589999999999975
Khislavichi,"Может, и до меня и не было этого, ну.",14,2.447999999999979
Khislavichi,Перекрестишь его.,6,1.353999999999928
Khislavichi,"Была б церковь  ближе, знаете, больше бы чего знала бы про это.",20,3.1469999999999345
Khislavichi,Я всем детям вырастила по коровке.,12,2.32000000000005
Khislavichi,Не.,1,0.5860000000000127
Khislavichi,"Гости. Невеста не поёт, невеста только плачет.",15,3.0400000000000205
Khislavichi,Ну кто их знает.,5,1.1119999999999663
Khislavichi,"И вот в лесу растёт такая трава, называется дереза.",19,3.0589999999999975
Khislavichi,У неё всего двое детей.,9,1.7570000000000618
Khislavichi,Давай тебе.,4,0.7280000000000086
Khislavichi,"Жито, не пшеница.",6,1.184000000000026
Khislavichi,"Да, вот подумают что-нибудь и... Вот есть  такая минута,",18,4.1609999999999445
Khislavichi,"А у них ещё вот, видать, земля лучше.",12,2.710000000000008
Khislavichi,"Предложил, и она как бы не, он же старше на двенадцать лет.",18,3.6510000000000673
Khislavichi,"Свету нету, доить не будем.",9,1.7800000000000864
