nosology_name,year,indicator_value
Мочевой пузырь (C67),2007,12215
Мочевой пузырь (C67),2008,12129
Мочевой пузырь (C67),2009,12328
Мочевой пузырь (C67),2010,12725
Мочевой пузырь (C67),2011,12623
Мочевой пузырь (C67),2012,13015
Мочевой пузырь (C67),2013,12992
Мочевой пузырь (C67),2014,13368
Мочевой пузырь (C67),2015,14136
Мочевой пузырь (C67),2016,14520
Мочевой пузырь (C67),2017,14939
Мочевой пузырь (C67),2018,15083
Мочевой пузырь (C67),2019,14731
Мочевой пузырь (C67),2020,12929
Мочевой пузырь (C67),2021,13139
Мочевой пузырь (C67),2022,13695
