first_author,title,year,character,gender,n_words,play_total_words
"Тургенев, Иван Сергеевич",Завтрак у предводителя,1849,Мирволин,MALE,472,6310
"Тургенев, Иван Сергеевич",Завтрак у предводителя,1849,Герасим,MALE,64,6310
"Тургенев, Иван Сергеевич",Завтрак у предводителя,1849,Балагалаев,MALE,2166,6310
"Тургенев, Иван Сергеевич",Завтрак у предводителя,1849,Вельвицкий,MALE,106,6310
"Тургенев, Иван Сергеевич",Завтрак у предводителя,1849,Алупкин,MALE,800,6310
"Тургенев, Иван Сергеевич",Завтрак у предводителя,1849,Суслов,MALE,306,6310
"Тургенев, Иван Сергеевич",Завтрак у предводителя,1849,Каурова,FEMALE,1263,6310
"Тургенев, Иван Сергеевич",Завтрак у предводителя,1849,Карп,MALE,14,6310
"Тургенев, Иван Сергеевич",Завтрак у предводителя,1849,Беспандин,MALE,522,6310
"Тургенев, Иван Сергеевич",Завтрак у предводителя,1849,Пехтерьев,MALE,531,6310
"Тургенев, Иван Сергеевич",Завтрак у предводителя,1849,Нагланович,MALE,66,6310
"Тургенев, Иван Сергеевич",Вечер в Сорренте,1852,Аваков,MALE,1179,2959
"Тургенев, Иван Сергеевич",Вечер в Сорренте,1852,Слуга,MALE,29,2959
"Тургенев, Иван Сергеевич",Вечер в Сорренте,1852,M-r Рореlin,MALE,91,2959
"Тургенев, Иван Сергеевич",Вечер в Сорренте,1852,Надежда Павловна,FEMALE,761,2959
"Тургенев, Иван Сергеевич",Вечер в Сорренте,1852,Бельский,MALE,680,2959
"Тургенев, Иван Сергеевич",Вечер в Сорренте,1852,Мария Петровна,FEMALE,204,2959
"Тургенев, Иван Сергеевич",Вечер в Сорренте,1852,Голос певца,MALE,15,2959
"Тургенев, Иван Сергеевич",Разговор на большой дороге,1851,Михрюткин,MALE,1884,3708
"Тургенев, Иван Сергеевич",Разговор на большой дороге,1851,Ефрем,MALE,1386,3708
"Тургенев, Иван Сергеевич",Разговор на большой дороге,1851,Селивёрст,MALE,438,3708
"Тургенев, Иван Сергеевич",Провинциалка,1851,Дарья Ивановна,FEMALE,3082,7627
"Тургенев, Иван Сергеевич",Провинциалка,1851,Миша,MALE,667,7627
"Тургенев, Иван Сергеевич",Провинциалка,1851,Ступендьев,MALE,1340,7627
"Тургенев, Иван Сергеевич",Провинциалка,1851,Васильевна,FEMALE,49,7627
"Тургенев, Иван Сергеевич",Провинциалка,1851,Аполлон,MALE,32,7627
"Тургенев, Иван Сергеевич",Провинциалка,1851,Лакей,MALE,30,7627
"Тургенев, Иван Сергеевич",Провинциалка,1851,Граф Любин,MALE,2427,7627
"Тургенев, Иван Сергеевич",Неосторожность,1843,Донья Долорес,FEMALE,2067,8469
"Тургенев, Иван Сергеевич",Неосторожность,1843,Дон Рафаэль,MALE,2109,8469
"Тургенев, Иван Сергеевич",Неосторожность,1843,Дон Бальтазар,MALE,1178,8469
"Тургенев, Иван Сергеевич",Неосторожность,1843,Маргарита,FEMALE,627,8469
"Тургенев, Иван Сергеевич",Неосторожность,1843,Дон Пабло,MALE,2484,8469
"Тургенев, Иван Сергеевич",Неосторожность,1843,Секретарь,MALE,4,8469
"Тургенев, Иван Сергеевич",Холостяк,1849,Стратилат,MALE,256,17437
"Тургенев, Иван Сергеевич",Холостяк,1849,Мошкин,MALE,7153,17437
"Тургенев, Иван Сергеевич",Холостяк,1849,Маланья,FEMALE,35,17437
"Тургенев, Иван Сергеевич",Холостяк,1849,Шпуньдик,MALE,1825,17437
"Тургенев, Иван Сергеевич",Холостяк,1849,Пряжкина,FEMALE,1399,17437
"Тургенев, Иван Сергеевич",Холостяк,1849,Маша,FEMALE,1249,17437
"Тургенев, Иван Сергеевич",Холостяк,1849,Вилицкий,MALE,2611,17437
"Тургенев, Иван Сергеевич",Холостяк,1849,Фонк,MALE,2392,17437
"Тургенев, Иван Сергеевич",Холостяк,1849,Митька,MALE,381,17437
"Тургенев, Иван Сергеевич",Холостяк,1849,Созомэнос,MALE,119,17437
"Тургенев, Иван Сергеевич",Холостяк,1849,Почтальон,MALE,17,17437
"Тургенев, Иван Сергеевич","Где тонко, там и рвётся",1848,Горский,MALE,4350,7785
"Тургенев, Иван Сергеевич","Где тонко, там и рвётся",1848,Мухин,MALE,414,7785
"Тургенев, Иван Сергеевич","Где тонко, там и рвётся",1848,M-lle Bienaimé,FEMALE,145,7785
"Тургенев, Иван Сергеевич","Где тонко, там и рвётся",1848,Вера,FEMALE,1470,7785
"Тургенев, Иван Сергеевич","Где тонко, там и рвётся",1848,Г-жа Либанова,FEMALE,663,7785
"Тургенев, Иван Сергеевич","Где тонко, там и рвётся",1848,Варвара Ивановна,FEMALE,27,7785
"Тургенев, Иван Сергеевич","Где тонко, там и рвётся",1848,Дворецкий,MALE,16,7785
"Тургенев, Иван Сергеевич","Где тонко, там и рвётся",1848,Чуханов,MALE,288,7785
"Тургенев, Иван Сергеевич","Где тонко, там и рвётся",1848,Слуга,MALE,3,7785
"Тургенев, Иван Сергеевич","Где тонко, там и рвётся",1848,Станицын,MALE,409,7785
"Сумароков, Александр Петрович",Семира,1751,Семира,FEMALE,3733,9710
"Сумароков, Александр Петрович",Семира,1751,Избрана,FEMALE,280,9710
"Сумароков, Александр Петрович",Семира,1751,Оскольд,MALE,2016,9710
"Сумароков, Александр Петрович",Семира,1751,Первый воин,MALE,66,9710
"Сумароков, Александр Петрович",Семира,1751,Другой воин,MALE,27,9710
"Сумароков, Александр Петрович",Семира,1751,Ростислав,MALE,1941,9710
"Сумароков, Александр Петрович",Семира,1751,Олег,MALE,1418,9710
"Сумароков, Александр Петрович",Семира,1751,Витозар,MALE,116,9710
"Сумароков, Александр Петрович",Семира,1751,Возвед,MALE,79,9710
"Сумароков, Александр Петрович",Семира,1751,Воин,MALE,34,9710
"Сумароков, Александр Петрович",Хорев,1747,Астрада,FEMALE,386,8042
"Сумароков, Александр Петрович",Хорев,1747,Оснельда,FEMALE,2758,8042
"Сумароков, Александр Петрович",Хорев,1747,Хорев,MALE,1804,8042
"Сумароков, Александр Петрович",Хорев,1747,Кий,MALE,1677,8042
"Сумароков, Александр Петрович",Хорев,1747,Сталверх,MALE,470,8042
"Сумароков, Александр Петрович",Хорев,1747,Велькар,MALE,563,8042
"Сумароков, Александр Петрович",Хорев,1747,Страж темниц,MALE,11,8042
"Сумароков, Александр Петрович",Хорев,1747,Страж градских ворот,MALE,21,8042
"Сумароков, Александр Петрович",Хорев,1747,Невольник,MALE,135,8042
"Сумароков, Александр Петрович",Хорев,1747,Посланный,MALE,98,8042
"Сумароков, Александр Петрович",Хорев,1747,Завлох,MALE,99,8042
"Сумароков, Александр Петрович",Хорев,1747,Единый воин,MALE,20,8042
"Сумароков, Александр Петрович",Димитрий Самозванец,1771,Пармен,MALE,804,6749
"Сумароков, Александр Петрович",Димитрий Самозванец,1771,Димитрий,MALE,2563,6749
