id,text,date,cause
215466,"Милый Сережа!
Сердечно поздравляем тебя все мы с днем рождения, желаем всего наилучшего, главное поменьше хворать.
Впрочем надеюсь, что предстоящая поездка в Крым укрепит Вас всех, только бы удалось привести в исполнение эту мечту. Собирайтесь пока к нам, эту поездку осуществить будет наверное легче. Как проводите время? Много ли занимаетесь? Как теперь твое здоровье? Недавно была у нас тетя Надя, вспоминали Вас. Пишите нам почаще. Целуем всех Вас и желаем всех благ. До свидания. А. Гро-Гверан.",1925-03-02,birthday
224594,"Дорогая Лелечка! Поздравляю с днем рожденья[^рождения]! Желаю отлично учиться, быть примерной комсомолкой и желаю всего, что ты желаешь. Нина. {г. Николаев. 29.3.1951}",1951-03-29,birthday
221772,Кума поздравляе [^поздравляем] тибя [^тебя] с днем рождения. Кума и кум. 1962 год. 28 мая. Мама Кресная [^крестная] поздравляю тибя [^тебя] с днем рождения жилаю [^желаю] тибя [^тебе] частья [^счастья] и хорошиго [^хорошего] здоровя [^здоровья] на долгие годы. Твоя кресная [^крестная] Алла.,1962-05-28,birthday
213614,"Дорогой Петр Васильевич! От всей души поздравляю Вас с днем рождения и наступающим новым годом! Желаю Вам в новом, юбилейном для Вас, году большого счастья, здоровья, успехов в работе и личной жизни. Оставайтесь всегда таким же бодрым, энергичным, но будьте решительнее, смелее, не обращайте внимания на постороннее мнение. От всей души и от всего сердца желаю Вам в новом году найти своё счастье, большое и чтобы оно было очень-очень долгое. Нат[алья] Николаевна",1977-12-28,birthday
220087,"Дорогой сыночек, Витенька, сердечно поздравляю тебя с днем рождения и желаю счастливых и радостных лет, хороших и веселых друзей, счастливых детских забав, в днях сладостных. Твой папа. {С 3х летием поздравляю.} {2/X 45 г.}",1945-10-02,birthday
237484,"Светочка! Поздравляю тебя с Днём рождения! Желаю здоровья, здоровья и ещё раз здоровья, а остальное всё есть и будет. Целую крепко. Лена 1962 год 22 марта",1962-03-22,birthday
206391,"Дорогая Дудочка! Поздравляем тебя с днем рождения, милая хорошего здоровья, счастья и <s> чтобы не болела нога </s> вообще, <s> желаю </s>  всего что бы ты хотела в твоей личной жизни <подпись> 12 ноября 1905",1905-11-12,birthday
223757,Поздравляю с днем рождения и желаю всего хорошего. Гузя. 11/I-36 г.,1936-01-11,birthday
222511,<u>Володя</u>!!! Поздравляю тебя с днем рождения. Желаю всего самого наилучшего. С глубоким увожением [^уважением]. <u>Барис</u> [^Борис] <u>Мамадиев</u> {25.09.1970г.},1970-09-25,birthday
233026,"5.XI.72
Поздравляю всех с праздником а братца с днем рождения. Желаю всего самого наилучшего. Я уже снова в Корсакове. Пишите по старому адресу.
Д.",1972-11-05,birthday
236857,"г. Ленинград 20 ноября 1964 г. Дорогую Катеньку сердечно поздравляю с днем рождения, желаю тебе моя хорошая – конечно здоровья, полную чашу благополучия в жизни и исполнения всех твоих заветных мечтаний. хотела к тебе заглянуть, но жизнь такая нескладная штука! – все сделает наоборот. Передай большой привет и поздравления Елене Михайл[овне]. Крепко тебя обнимаю любящая тебя Лида М.",1964-11-20,birthday
247213,"Альбина!!! Поздравляем тебя с днем рождения! Желаем тебе сибирского здоровья, веселого настроения, успехов в работе и учебе, счастья в личной жизни и чего тебе хочется, пусть исполнится. Таня и мама.  3 марта 1974 года. <подпись>",1974-03-03,birthday
226948,<u>Дорогая мамочка!</u> Поздравляю тебя с днём рождения. Желаю долгой и продолжительной жизни и успехов. Саша. г. Ленинград. 19 - I 56 г.,1956-01-19,birthday
234602,"Дорогая, любимая мамочка! Поздравляю с днем рождения и желаю счастья и здоровья в твоей жизни. Олежка. 12/I-62 г. <подпись>",1962-01-12,birthday
239755,"Дорогая мамочка! Поздравляю тебя с днем рождения. от всей души желаю тебе побольше жизни, поменьше болезни, и быть веселой и не сердиться. {Твоя дочка Света.} {1966 года 5 мая.}",1966-05-05,birthday
227477,"Виктор Алексеевич! Поздравляю тебя с Днем рождения! Счастья тебе, удачи, успехов на нелегком трудовом поприще, оставться всегда молодым, весёлым хорошим человеком, каким я тебя знаю все эти годы!!!  Галина Алексеенко 30.09.1995 г. Псков <подпись>",1995-09-30,birthday
227970,"Дорогая Машенька, сердечно поздравляем тебя с Днем рождения, от души желаем здоровья, бодрости, долголетия, счастья и радости. ""Сколько прожито лет Их не надо считать, В этот день праздничный день мы хотим пожелать: не болеть, не стареть, не грустить, не скучать, и еще много лет по дороге шагать."" 17/VII-93. Колено. Обнимаем тебя - Ты - Я и Тих[он] Дм[итриевич]",1993-07-17,birthday
232982,"Дорогая многоуважаемая Роза Фоминична, поздравляю Вас с днем рождения и и Международным днем 8 марта! Желаю всего самого хорошего в Вашей жизни – здоровья, счастья и больших перемен в личной жизни. С горячим приветом, ваша Е.А. 8/III - 61.",1961-03-08,birthday
222007,"<u>Дорогой Саша!</u> Поздравляем тебя с днем Рождения! Энергии, силы, добра и удачи, В делах вдохновения, везенья, пусть будут по силам любые задачи, пусть радость несет День Рожденья [^Рождения]! Здоровья, достатка, счастливых событий, поддержки родных и знакомых, пусть ждет еще множество новых открытий и ждут с нетерпением дома! С любовью Лариса и Вера. 05.05.2013 г. С Рождеством Христовым.",2013-05-05,birthday
250710,"Любимый наш <u>Юленька</u>! Поздравляем тебя с днем рождения! <u>5 лет</u> - это уже немало [^не мало], ты должен все понимать и расти послушным умным и сообразительным. Целуем крепко, твои родители и бабушка. 8 марта 1990г. Уфа",1990-03-08,birthday
223556,"23/ix - 1909 г. пущено письмо божье
Поздравляю с днём рождения и желаю тебе всего наилучшего в твоей спитальнической жизни. Твой старый слуга до гроба поручик А. А. Чичиков-Аменов.",1909-09-23,birthday
103621,"20/I.1906 г.
Сердечно поздравляем с днем рождения. [? Юревич] с семейством",1906-01-20,birthday
244441,{1916 6/VIII} Дорогая Мета! Поздравляю тебя с Днем Рождения и желаю всего наилучшего. От бабушки и мужа поздравление и поклон. Цилли Селяво,1915-08-06,birthday
227716,"Дорогая тётя Нелля! Поздравляю вас с днём рождения. Желаю много, много счастья, русского веселья, сибирского здоровья, кавказского долголетия Люда {11/VII.73 г.}",1973-07-11,birthday
220670,"Дорогая Зиночка! Поздравляю тебя с днем рождения. Желаю тебе всего наилучшего в жизни. Целую Твой брат Лева. Сообщи, как поступила ты с переводами. Удивляюсь, почему от тебя нет писем. Целую еще раз Лева привет маме Казань 5/I 15",1915-01-15,birthday
250034,"Дорогая бабушка! Поздравляю Вас с Днем рождения. Желаю всего самого наилучшего в жизни, отличного здоровья и хорошего настроения. Внучка Таня. 30.9.72. г[од]. г[ород] Никополь",1972-09-30,birthday
225589,<u>Валя!</u> Поздравляю Вас с днем рождения и желаю успеха в учебе Вашей. Валя помни свою подругу С. Галю. Помни совместное учение. Валечке от С. Галины ученицы X класса школы № 6. г.[ород] Йошкар-Ола 30 марта 1944 г.[од],1944-03-30,birthday
101379,"<u>Милая Томка! </u> Эта открытка немного опоздала (почти на месяц), только сегодня она поступила к нам. Но если она опоздала к Новому году, то разреши через эту открытку поздравить тебя с днем рождения. Пока она дойдет до Тюмени и будет день твоего рождения. Крепко целует тебя <u>Ленька</u>. 28.1.42 г.",1942-01-28,birthday
222792,"5.IX.67 г. Милая, дорогая Марочка! Поздравляю Вас с днем рождения и от всего сердца желаем Вам всего, всего хорошего в Вашей жизни, а главное быть здоровой, веселой и счастливой. И крепко, крепко целую, а папа жмет ручки. Ваши И. и М. [Д...].",1967-09-05,birthday
215945,"Валерочка милый! Поздравляем тебя с днем рождения, желаю счастья, здоровья, успехов в учебе. Слушайся маму и папу и всегда жалей обоих Крепко целую Галина Саша и д[ядя] Коля 13/XI 61г.",1961-11-13,birthday
1573,"{г. Одесса, 13 августа 1910 г.} Поздравляю и крепко целую дорогую Наташеньку. Лизочка. Дорогая Наташа, целую и поздраляю тебя с днем рождения. Поцелуй маму, папу, Митю, Раю, Леночку, Колю и Мишеньку. Кланяюсь т. Тане. Будь здорова. Еще раз целую, твой дядя [нрзб]",1910-08-13,birthday
239271,"Дорогая наша Мамочка! Поздравляем тебя с днем рождения! От всей души желаем здоровья покрепче, всегда хорошего настроения. Пусть сбудуться[^сбудутся] все твои желания! 27.XI.79г. Твои дети Светлана и Капиталина.",1979-11-27,birthday
225465,Тёте Тоне! Дорогая тётя Тоня поздравляю вас с днём рождения и жилаю[^желаю] вам здоровья и счастия[^счастья] в вашей жизни и работе. внучка Алла,1952-03-14,birthday
217526,"Уважаемая Анна Михайловна! Поздравляем Вас, дорогая, с днем рождения! Будьте здоровы и счастливы! С уважением, всегда помнящие Вас друзья. 03.12.83. <подписи>",1983-12-03,birthday
237427,Поздравляю с днем Рождения дорогую девочку и желаю ей повыше роста и здоровья во второй половине девятнадцатого столетия. Целую крепко в обе щечки. Орлова  {28.12.50..},1950-12-28,birthday
204983,"Поздравляю тебя моя родненькая и любимая доченька с днем рождения.  Желаю тебе [? здоровья], счастья и успехов. Посмотри листочки, как эти дети, даже играя, делают полезное. Мой тебе совет в этот торжественный для тебя и всех нас день помнить, что только полезный труд, скромность и аккуратность украшают человека. Целую тебя, моя птичка. Твоя [?няня]",1946-01-16,birthday
239256,"Дорогая, Зиночка! Поздравляем, тебя с днем рождения. Желаем счастья, здоровья, долгих лет жизни и всего, всего чего ты только желаешь. Коллектив бухгалтерии 27/XI-74 г.",1974-11-27,birthday
229400,"Дорогая Валюша! Поздравляем тебя с днем рождения. Желаем тебе много, много здоровья, счастья, радости! Любящая тебя ""квартира 14"" 25.XII.63",1963-12-25,birthday
100600,"Витя! Поздравляем тебя с днём рождения! 4/IV-60 г. ""Начало науки -  ум, начало ума  - терпение."" От мамы, сестры и брата.",1960-04-04,birthday
250292,"Милый Женечка! Сердечно поздравяляю с Днем Рождения, желаю здоровья, счастья и больших успехов в учебе твоей. Расти на счастье и радость себе, маме и всем родным. Таня Сотникова {Уважаемую Валентину Ивановну и всех родных поздравляем с новорожденным и всем желаем всего наилучшего [..ова] Зверева Сотникова 21/IV-48}",1948-04-21,birthday
249112,"Клавдия Васильевна! Поздравляю Вас с днем рождения. Желаю счастья, здоровья, веселья! Долгих, долгих приятных лет жизни. Валя. {16/ХII 69}.",1969-12-16,birthday
227675,"Дорогой братик! Сердечно поздравляю тебя с днем рождения! Желаю тебе крепкого здоровья и всего самого, самого наилучшего целую Света 1/XI 79",1979-11-01,birthday
244075,Поздравляю дорогого Юрочку с днём рождения с пожеланиями всего лучшего <подпись>,1913-10-13,birthday
222340,"Уважаемая Анна Алексеевна! Поздравляем Вас с днем рождения. Желаем Вам здоровья, радости, бодрости на годы и чтоб стороной прошли невзгоды, и всего-всего самого наилучшего.",1978-06-07,birthday
238702,"Адусик! Поздравляю тебя с Днем Рождения, Новым годом, желаю тебе много, много [^ много-много] здоровья, счастья в жизни и наилучших успехов в учебе. Желаю быть и в дальнейшем такой же хорошей. Анатолий. 29.XII-1961 г.",1961-12-29,birthday
250113,"Милая Леночка! Поздравляю тебя с днем рождения. Желаю тебе счастья, здоровья и долгих лет жизни. 5.XII.64 [подпись]",1964-12-05,birthday
