country,year_of_discovery,find_spot_id,find_spot_name,total_number_of_coins,terminal_year_earliest,terminal_year_latest,lat,long,summary,disposition,century
Iraq,1983,20613,KIFRIN,3,194,194,34.375849,42.085404,"Three denarii (1 of Trajan and 2 of Septimius Severus that share the same obverse die) from the same context (C/26/34), that may represent a small hoard, found at Kifrin, a large fortified settlement with Parthian and Roman phases of the 2nd and 3rd c. AD, on the east bank of the Euphrates.",Unknown (Bagdad?),II century
France,1870,12453,TORTERON,200,177,192,47.0218,2.9666,It comprised 200 sestertii from Antoninus Pius to Commodus (AD 180-192) found with a ceramic vessel.,NA,II century
France,1836,6335,LYON 1836 2,25,145,145,45.78,4.799,"25 silver denarii were found along with a considerable amount of human bone, interpreted as being an indicator of a battlefield site.",NA,II century
Ukraine,1911,18249,NEKHVOROSHCHA,300,193,193,49.140211131625,34.720577088167,300 denarii found with a ceramic vessel: Trajan - Didius Julianus (Manlia Scantilla) (AD 193).,NA,II century
Ukraine,1935,18258,STOYANOVSKA,18,180,192,50.065053547244,25.354970819182,A hoard of unknown originally number of coins. 18 denarii were documented: Trajan - Commodus (AD 180-192).,"Archaeological Museum, Lodz, Poland",II century
Israel,1971,8158,ASHQELON 1971,21,138,161,31.665,34.5496,21 bronze coins (Vespasian-Hadrian) published in am auction catalogue without details on the circumstances of discovery.,Dispersed,II century
France,1985,5483,SAINT-NOM-LA-BRETÈCHE,9,164,176,48.86,2.02,The hoard comprised 9 aurei from Antoninus Pius to Marcus Aurelius.,NA,II century
Denmark,1853,13598,UDMARKEN B,53,178,192,55.104643,14.727234,"Udmarken on Bornholm has yielded three hoards with a total of 217 denarii. All three, A, B, C, have been interpreted as being of either the same hoard or of chronologically identical hoards. A and B were found a week apart in 1853 and C was found in 1857. Udmarken B contains 53 of the 217 denarii.",NA,II century
Hungary,1919,13136,ZALAHOSSZÚJFALU 1919,171,158,159,46.761,17.103,"171 coins: 169 denarii,1 sestertius, 1 dupondius: Nero - Antoninus Pius (AD 158-159).","Balaton Museum, Keszthely (91 coins); private collection (72 coins), Hungary",II century
France,1977,6965,PARIS IVE (QUARTIER NOTRE-DAME) 1977,6,180,192,48.853143,2.348163,The hoard comprised a burned pottery vessel containing 6 sestertii from Trajan to Commodus.,NA,II century
Greece,1953,6845,AMPHIPOLIS 1953,23,177,192,40.82442,23.84618,"A hoard of 5+ Roman provincial coins (Thessalonica: 1; Amphipolis: 4, Marcus Aurelius and Commodus), found in a grave in Amphipolis (Grave 1) in 1953. Archives in the Ephorate mention 18 further coins, but these could not be traced any more.","Archaeological Museum, Kavala",II century
India,1942,18343,CHAKHERBEDHA,2,190,190,22.006218181787,82.115231532707,Two double pierced coins (aureus - Commodus and an Indian imitation of Marcus Aurelius/Commodus) were found along with modern earring.,NA,II century
