id,author,title,publication_year,journal,abstract,field
https://openalex.org/W1982121280,Kenneth K. Boyer,"Minimum Rate Regulation, Modal Split Sensitivities, and the Railroad Problem",1977,Journal of Political Economy,"Contrary to popular opinion, the diversion of traffic from railroads to motor carriers has not been the result of minimum rate regulation. The idea that there is a large amount of misallocated traffic is based on the widespread but faulty method of analyzing intermodal competition by means of a simple cost comparison. The paper uses modal split analysis to show that the welfare gain accompanying minimum rate regulation will be modest. The welfare effects of transport controls other than minimum rate regulations are likely to be far more serious.",economics
https://openalex.org/W1545203195,Harvey E. Lapan; Walter Enders,"Devaluation, Wealth Effects, and Relative Prices",1978,The American Economic Review,"The emergence of the portfolio balance approach 1 has led to a reformulation of the causes of balance-of-trade and payments disequilibria. According to this approach, balance-of-trade deficits and surpluses reflect discrepancies between desired and actual wealth holdings; while balance-ofÂ­ payments deficits and surpluses reflect discrepancies between desired and actual money holdings. Thus, balance-of-trade and payments disequilibria are viewed as representing disequilibria within the asset markets. Using this framework several authors2 have examined the self-correcting nature of disequilibria within the balanceÂ­ of-payments accounts and the ability of a devaluation to reduce the magnitude of a disequilibrium. (This abstract was borrowed from another version of this item.)",economics
https://openalex.org/W1576473058,James A. Crutchfield,Marine resources: the economics of US ocean policy,1979,The American Economic Review,"The sea will produce minerals for the practical use of mankind only when the cost and demand factors of land sources are such that the sea becomes an economically feasible source. Oil and gas are the only mineral resources to have value at the present. Future energy sources from small-scale tidal power plants or ocean thermal gradients and fresh water sources by desalination are possible. There is presently no technology for the ocean mining of compacted minerals and no interest in extracting the low concentrations of dissolved minerals, although there is some activity in mining unconsolidated minerals. Living resources show signs of overexploitation by world fishing industries and have become a subject of international concern. The Fishery Conservation and Management Act was designed to provide a more rational and economic pattern of resource development. 13 references.",economics
https://openalex.org/W2005393293,Dirk Krueger; Alexander Ludwig,Optimal Progressive Labor Income Taxation and Education Subsidies When Education Decisions and Intergenerational Transfers are Endogenous,2013,The American Economic Review,"We quantitatively characterize the optimal mix of progressive income taxes and education subsidies in a model with endogenous human capital formation, borrowing constraints, income risk and incomplete financial markets. In addition to the distortions of labor supply, progressive taxes weaken the incentives to acquire education. The latter distortion can potentially be mitigated by an education subsidy. We find that the welfare-maximizing fiscal policy is indeed characterized by a substantially progressive labor income tax code and a positive subsidy for college education. Both the degree of tax progressivity and the education subsidy are larger than in the current US status quo.",economics
https://openalex.org/W1557891199,Bradbury Kl; Angela M. Downs; Small Ka,Some dynamics of central city-suburban interactions.,1980,The American Economic Review,There is widespread concern about the current decline of cities in the United States a concern encompassing such phenomena as population loss job loss rising unemployment rates declining relative incomes rising local taxes combined with declining public service levels growing physical blight and increasing racial and economic segregation. Without policy intervention will such decline continue indefinitely? Or will there be a natural slowing down and eventual stop to the processes threatening the economic social and governmental functioning of many older large cities? Our thesis is that many of the market forces currently operating in cities cause decline to exacerbate itself in a chain of circular causation. Therefore some policy intervention to break the cycle in the interest of both the nation as a whole and the affected cities. (excerpt),economics
https://openalex.org/W2048192129,Pinelopi Koujianou Goldberg,Dealer Price Discrimination in New Car Purchases: Evidence from the Consumer Expenditure Survey,1996,Journal of Political Economy,"This paper documents the variation in dealer discounts for new cars using transactions price data from the Consumer Expenditure Survey. Consumer-specific characteristics fail to explain dealer discounts, whereas model, market-specific, and purchase transaction variables (e.g., first-time purchase, trade-in, and financing through dealer) do explain them. The results contradict earlier findings of race and gender discrimination based on a controlled experiment. This contradiction is reconciled by examining the higher moments of the empirical discount distribution; while mean and median markups do not vary by race and gender, minority purchases are characterized by higher dispersion. This may rationalize the disparate treatment of minorities by dealers documented in the controlled experiment.",economics
https://openalex.org/W1485565033,Marc Dudey,Competition by Choice: The Effect of Consumer Search on Firm Location Decisions,1990,The American Economic Review,"This paper relates firm location choice and consumer search. Firms that cluster together attract consumers by facilitating price comparison, but clustering increases the intensity of local competition. The author constructs a simple model which shows that firms may choose head-on competition by locating together. Under reasonable conditions, this is the only equilibrium outcome. Copyright 1990 by American Economic Association.",economics
https://openalex.org/W1542728777,Charles J. Goetz; James M. Buchanan,External Diseconomies in Competitive Supply: Reply,1973,The American Economic Review,"The many comments stimulated by our recent paper call into question its concluding assertion that no real paradigm has existed in this area of the theory of competitive supply. Several critics allege that our conclusions as to the existence of production as well as exchange inefficiencies depend on a particular form of the firm's cost function. An alternative form, said to be more in keeping with the standard assumptions of competitive theory, is shown to restore the orthodox analysis in its pristine purity and simplicity, including its implications for the efficacy of Pigovian corrective taxes. While we concede that the critics' specification of the cost function does rescue the orthodox analysis, we dispute whether their formulation more nearly reflects the traditional behavioral assumptions of competitive theory. Indeed, while legitimate argument on the point may exist, we continue to feel that our own formulation embodies the traditional assumptions. In any event, we are unconvinced that the alternative premise should be favored simply because it restores the neatness of the Pigovian prescriptions. The real issue is which of the formulations more accurately captures the behavioral rule followed by competitive decision makers.",economics
https://openalex.org/W2093205115,George C. Bitros,A Statistical Theory of Expenditures in Capital Maintenance and Repair,1976,Journal of Political Economy,"This study introduces an econometric model to explain the determinants of expenditures in capital maintenance and repair and, indirectly, to question the assumption implicit in most investment studies that such expenditures do not ""matter"" in the process of capital accumulation. The model is estimated by a consistent-systems technique, with data pertaining to the rolling stock of class-I line-haul railways in the United States from 1944-70. The empirical results indicate that maintenance expenditures are determined by gross additions to and retirements from the rolling stock as well as by the cost of funds and the rate of utilization. Moreover, in light of the uncovered rade-offs between maintenance expenditures and gross investment, the paper concludes that in estimating investment models, a proxy for maintenance expenditures should be included among the independent variables.",economics
https://openalex.org/W2052666693,Angela Vossmeyer,Treatment Effects and Informative Missingness with an Application to Bank Recapitalization Programs,2014,The American Economic Review,"This article develops a Bayesian framework for estimating multivariate treatment effect models in the presence of sample selection. The methodology is applied to a banking study that evaluates the effectiveness of lender of last resort (LOLR) policies and their ability to resuscitate the financial system. This paper employs a novel bank-level dataset from the Reconstruction Finance Corporation, and jointly models a bank's decision to apply for a loan, the LOLR's decision to approve the loan, and the bank's performance a few years after the disbursements. This framework offers practical estimation tools to unveil new answers to important regulatory questions.",economics
