id,line,line_name,name,former_name,opened,elevation_m,type,latitude,longitude
1,1,сокольническая,Бульвар Рокоссовского,Улица Подбельского (1990–2014),1990-08-01,-8,"column, triple-span",55.8148,37.7342
2,1,сокольническая,Черкизовская,,1990-08-01,-9,"single-vault, shallow",55.8038888888889,37.7447222222222
3,1,сокольническая,Преображенская площадь,,1965-12-31,-8,"column, triple-span",55.7963888888889,37.715
4,1,сокольническая,Сокольники,,1935-05-15,-9,"column, triple-span",55.7888888888889,37.6802777777778
5,1,сокольническая,Красносельская,,1935-05-15,-8,"column, double-span",55.78,37.6672222222222
6,1,сокольническая,Комсомольская,,1935-05-15,-8,"column, triple-span",55.7752777777778,37.6561111111111
7,1,сокольническая,Красные ворота,Лермонтовская (1962–1986),1935-05-15,-31,"pylon, triple-vault",55.7688888888889,37.6486111111111
8,1,сокольническая,Чистые пруды,Кировская (1935–1990),1935-05-15,-35,"pylon, triple-vault",55.7658333333333,37.6388888888889
9,1,сокольническая,Лубянка,Дзержинская (1935–1990),1935-05-15,-32.5,"pylon, triple-vault",55.7597222222222,37.6272222222222
10,1,сокольническая,Охотный ряд,Имени Кагановича (1955–1957); Проспект Маркса (1961–1990),1935-05-15,-15,"pylon, triple-vault",55.7577777777778,37.6166666666667
11,1,сокольническая,Библиотека имени Ленина,,1935-05-15,-12,"single-vault, shallow",55.7511111111111,37.61
12,1,сокольническая,Кропоткинская,Дворец Советов (1935–1957),1935-05-15,-13,"column, triple-span",55.7452777777778,37.6036111111111
13,1,сокольническая,Парк культуры,ЦПКиО имени Горького (1935–1980),1935-05-15,-10.5,"column, triple-span",55.7355555555556,37.5941666666667
14,1,сокольническая,Фрунзенская,,1957-05-01,-42,"pylon, triple-vault",55.7266666666667,37.5786111111111
15,1,сокольническая,Спортивная,,1957-05-01,-42,"pylon, triple-vault",55.7233333333333,37.5638888888889
16,1,сокольническая,Воробьёвы горы,Ленинские горы (1959–1983),1959-01-12,10,within bridge,55.7102777777778,37.5591666666667
17,1,сокольническая,Университет,,1959-01-12,-26.5,"pylon, triple-vault",55.6925,37.5333333333333
18,1,сокольническая,Проспект Вернадского,,1963-12-30,-8,"column, triple-span",55.6772222222222,37.5061111111111
19,1,сокольническая,Юго-Западная,,1963-12-30,-8,"column, triple-span",55.6636111111111,37.4833333333333
20,1,сокольническая,Тропарёво,,2014-12-08,-12,"single-vault, shallow",55.6458333333333,37.4725
21,1,сокольническая,Румянцево,,2016-01-18,-12,"column, triple-span",55.6330555555556,37.4419444444444
22,1,сокольническая,Саларьево,,2016-02-15,-12,"column, triple-span",55.6227777777778,37.4238888888889
23,1,сокольническая,Филатов Луг,,2019-06-20,0,"surface, open",55.6013888888889,37.4077777777778
24,1,сокольническая,Прокшино,,2019-06-20,0,"surface, open",55.5861111111111,37.4338888888889
25,1,сокольническая,Ольховая,,2019-06-20,-5,"single-span, shallow",55.5686111111111,37.4594444444444
26,1,сокольническая,Коммунарка,,2019-06-20,-5,"column, triple-span",55.5602777777778,37.4683333333333
27,2,замоскворецкая,Ховрино,,2017-12-31,-14,"column, double-span",55.8791666666667,37.4822222222222
28,2,замоскворецкая,Беломорская,,2018-12-20,-25,"column, double-span",55.8658333333333,37.4763888888889
29,2,замоскворецкая,Речной вокзал,,1964-12-31,-6,"column, triple-span",55.855,37.4761111111111
30,2,замоскворецкая,Водный стадион,,1964-12-31,-6,"column, triple-span",55.8397222222222,37.4866666666667
31,2,замоскворецкая,Войковская,,1964-12-31,-7,"column, triple-span",55.8188888888889,37.4980555555556
32,2,замоскворецкая,Сокол,,1938-09-11,-9.6,"column, double-span",55.805,37.5152777777778
33,2,замоскворецкая,Аэропорт,,1938-09-11,-10,"single-vault, shallow",55.8002777777778,37.5327777777778
34,2,замоскворецкая,Динамо,,1938-09-11,-39.6,"pylon, triple-vault",55.7897222222222,37.5580555555556
35,2,замоскворецкая,Белорусская,,1938-09-11,-33.1,"pylon, triple-vault",55.7766666666667,37.5836111111111
36,2,замоскворецкая,Маяковская,,1938-09-11,-33.1,"column, triple-vault",55.77,37.5958333333333
37,2,замоскворецкая,Тверская,Горьковская (1979–1990),1979-07-20,-42,"pylon, triple-vault",55.7647222222222,37.6063888888889
38,2,замоскворецкая,Театральная,Площадь Свердлова (1938–1990),1938-09-11,-33.9,"pylon, triple-vault",55.7577777777778,37.6188888888889
39,2,замоскворецкая,Новокузнецкая,,1943-11-20,-37.5,"pylon, triple-vault",55.7413888888889,37.6294444444444
40,2,замоскворецкая,Павелецкая,,1943-11-20,-33.5,"column, triple-vault",55.7305555555556,37.6377777777778
41,2,замоскворецкая,Автозаводская,Завод имени Сталина (1943–1956),1943-01-01,-11,"column, triple-span",55.7075,37.6575
42,2,замоскворецкая,Технопарк,,2015-12-28,0,"surface, open",55.695,37.6641666666667
43,2,замоскворецкая,Коломенская,,1969-08-11,-9,"column, triple-span",55.6786111111111,37.6638888888889
44,2,замоскворецкая,Каширская,,1969-08-11,-7,"column, triple-span",55.655,37.6486111111111
45,2,замоскворецкая,Кантемировская,,1984-12-30,-8,"single-vault, shallow",55.6358333333333,37.6563888888889
46,2,замоскворецкая,Царицыно,Ленино (1984–1990),1984-12-30,-8,"column, triple-span",55.6213888888889,37.6694444444444
47,2,замоскворецкая,Орехово,,1984-12-30,-9,"column, triple-span",55.6133333333333,37.695
48,2,замоскворецкая,Домодедовская,,1985-09-07,-9.5,"column, triple-span",55.6108333333333,37.7186111111111
49,2,замоскворецкая,Красногвардейская,,1985-09-07,-9,"single-vault, shallow",55.6136111111111,37.7444444444444
50,2,замоскворецкая,Алма-Атинская,,2012-12-24,-10,"single-vault, shallow",55.6325,37.7661111111111
51,3,арбатско-покровская,Пятницкое Шоссе,,2012-12-28,-11,"column, double-span",55.8563888888889,37.3544444444444
52,3,арбатско-покровская,Митино,,2009-12-26,-14,"single-vault, shallow",55.8458333333333,37.3622222222222
53,3,арбатско-покровская,Волоколамская,,2009-12-26,-14,"column, triple-span",55.8352777777778,37.3822222222222
54,3,арбатско-покровская,Мякинино,,2009-12-26,0,"surface, single-span",55.8252777777778,37.3852777777778
55,3,арбатско-покровская,Строгино,,2008-01-07,-8,"single-vault, shallow",55.8038888888889,37.4030555555556
56,3,арбатско-покровская,Крылатское,,1989-12-31,-9.5,"single-vault, shallow",55.7566666666667,37.4080555555556
57,3,арбатско-покровская,Молодёжная,,1965-07-05,-6.5,"column, triple-span",55.7408333333333,37.4166666666667
58,3,арбатско-покровская,Кунцевская,,2008-01-07,0,"surface, open",55.7308333333333,37.4458333333333
59,3,арбатско-покровская,Славянский бульвар,,2008-09-07,-8.5,"single-vault, shallow",55.7297222222222,37.4705555555556
60,3,арбатско-покровская,Парк Победы,,2003-05-06,-84,"pylon, triple-vault",55.7361111111111,37.5183333333333
61,3,арбатско-покровская,Киевская,,1953-04-05,-38,"pylon, triple-vault",55.7441666666667,37.5644444444444
62,3,арбатско-покровская,Смоленская,,1953-04-05,-50,"pylon, triple-vault",55.7475,37.5822222222222
63,3,арбатско-покровская,Арбатская,,1953-04-05,-41,"pylon, triple-vault",55.7522222222222,37.6061111111111
64,3,арбатско-покровская,Площадь Революции,,1938-03-13,-33.6,"pylon, triple-vault",55.7566666666667,37.6216666666667
65,3,арбатско-покровская,Курская,,1938-03-13,-30.7,"pylon, triple-vault",55.7575,37.6577777777778
66,3,арбатско-покровская,Бауманская,,1944-01-18,-32.5,"pylon, triple-vault",55.7730555555556,37.6805555555555
67,3,арбатско-покровская,Электрозаводская,,1944-05-15,-31.5,"pylon, triple-vault",55.7816666666667,37.7036111111111
68,3,арбатско-покровская,Семёновская,Сталинская (1944–1961),1944-01-18,-40,"pylon, triple-vault",55.7833333333333,37.7208333333333
69,3,арбатско-покровская,Партизанская,Измайловский парк культуры и отдыха имени Сталина (1944-1947); Измайловская (1947–1963); Измайловский парк (1963–2005),1944-01-18,-9,"column, triple-span",55.7886111111111,37.7505555555556
70,3,арбатско-покровская,Измайловская,Измайловский парк (1961–1963),1961-10-21,0,"surface, open",55.7877777777778,37.7813888888889
71,3,арбатско-покровская,Первомайская,,1961-10-21,-7,"column, triple-span",55.7947222222222,37.7991666666667
72,3,арбатско-покровская,Щёлковская,,1963-07-22,-8,"column, triple-span",55.8094444444444,37.7986111111111
73,4,филевская,Кунцевская,,1965-08-31,0,"surface, open",55.7308333333333,37.4458333333333
74,4,филевская,Пионерская,,1961-10-13,0,"surface, open",55.7361111111111,37.4672222222222
75,4,филевская,Филёвский парк,,1961-10-13,0,"surface, open",55.7397222222222,37.4833333333333
76,4,филевская,Багратионовская,,1961-10-13,0,"surface, open",55.7438888888889,37.4977777777778
77,4,филевская,Фили,,1959-11-07,0,"surface, open",55.7461111111111,37.515
78,4,филевская,Кутузовская,,1958-11-07,0,"surface, open",55.74,37.5344444444444
79,4,филевская,Студенческая,,1958-11-07,0,"surface, open",55.7388888888889,37.5483333333333
80,4a,филевская,Международная,,2006-08-30,-25,"column, triple-vault",55.7483333333333,37.5338888888889
81,4a,филевская,Выставочная,Деловой центр (2005–2009),2005-09-10,-25,"column, triple-span",55.7502777777778,37.5408333333333
82,4;4a,филевская,Киевская,,1937-03-20,-8.7,"column, triple-span",55.7436111111111,37.5655555555556
83,4;4a,филевская,Смоленская,,1935-05-15,-8,"column, triple-span",55.7488888888889,37.5825
84,4;4a,филевская,Арбатская,,1935-05-15,-8,"column, triple-span",55.7516666666667,37.6008333333333
85,4,филевская,Александровский сад,Улица Коминтерна (1935–1946); Калининская (1946-1990); Воздвиженка (1990),1935-05-15,-7,"column, four-span",55.7525,37.6086111111111
86,5,кольцевая,Киевская,,1954-03-14,-48,"pylon, triple-vault",55.7447222222222,37.5644444444444
87,5,кольцевая,Краснопресненская,,1954-03-14,-35.5,"pylon, triple-vault",55.7613888888889,37.5775
88,5,кольцевая,Белорусская,,1952-01-30,-42.5,"pylon, triple-vault",55.7763888888889,37.5844444444444
89,5,кольцевая,Новослободская,,1952-01-30,-40,"pylon, triple-vault",55.78,37.6027777777778
90,5,кольцевая,Проспект Мира,Ботанический сад (1952–1966),1952-01-30,-40,"pylon, triple-vault",55.7797222222222,37.6316666666667
91,5,кольцевая,Комсомольская,,1952-01-30,-37,"column, triple-vault",55.7747222222222,37.655
92,5,кольцевая,Курская,,1950-01-01,-40,"column, triple-vault",55.7569444444444,37.6594444444444
93,5,кольцевая,Таганская,,1950-01-01,-53,"pylon, triple-vault",55.7416666666667,37.6516666666667
94,5,кольцевая,Павелецкая,,1950-01-01,-40,"pylon, triple-vault",55.7316666666667,37.6377777777778
95,5,кольцевая,Добрынинская,Серпуховская (1950–1961),1950-01-01,-35.5,"pylon, triple-vault",55.7291666666667,37.6241666666667
96,5,кольцевая,Октябрьская,Калужская (1950–1961),1950-01-01,-40,"pylon, triple-vault",55.7297222222222,37.6091666666667
97,5,кольцевая,Парк культуры,Парк Культуры имени Горького (1950–1980),1950-01-01,-40,"pylon, triple-vault",55.7358333333333,37.5913888888889
98,6,калужско-рижская,Медведково,,1978-09-30,-10,"column, triple-span",55.8872222222222,37.6613888888889
99,6,калужско-рижская,Бабушкинская,,1978-09-30,-10,"single-vault, shallow",55.8694444444445,37.6644444444444
100,6,калужско-рижская,Свиблово,,1978-09-30,-8,"column, triple-span",55.8552777777778,37.6527777777778
101,6,калужско-рижская,Ботанический сад,,1978-09-30,-7,"column, triple-span",55.845,37.6383333333333
102,6,калужско-рижская,ВДНХ,ВСХВ (1958–1959),1958-05-01,-53.5,"pylon, triple-vault",55.8211111111111,37.6411111111111
103,6,калужско-рижская,Алексеевская,Мир (1958–1966); Щербаковская (1966–1990),1958-05-01,-51,"pylon, triple-vault",55.8088888888889,37.6388888888889
104,6,калужско-рижская,Рижская,,1958-05-01,-46,"pylon, triple-vault",55.7936111111111,37.6361111111111
105,6,калужско-рижская,Проспект Мира,Ботанический сад (1958–1966),1958-05-01,-50,"pylon, triple-vault",55.7811111111111,37.6316666666667
106,6,калужско-рижская,Сухаревская,Колхозная (1972–1990),1972-01-05,-43,"pylon, triple-vault",55.7733333333333,37.6319444444444
